geo_accession	sample_id	donor_id	DRG_ID	module_id	program	whole_section_score	measured_up	measured_down
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_neuron_residual	P7	0.019371694970495772	70	197
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_shared_concordant_neuronal_core	P6	-0.005986792134182763	44	76
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_early_allcell	P1	-0.025209968695766704	299	328
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_allcell	P2	-0.013210469821846328	1345	1648
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_neuron	P3	0.0073102259628021315	121	295
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_severity	P4	-0.061259478141413415	313	134
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_xenium	P5	0.009803386193604402	17	42
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	severity_neuron_residual	P10	-0.06392868437180353	218	118
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_allcell_residual	P8	-0.012718466954081012	1261	1549
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_neuron_residual	P7	0.017297638183872317	72	194
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_shared_concordant_neuronal_core	P6	-0.005109266170883293	43	77
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_early_allcell	P1	-0.022379102710525782	300	329
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_allcell	P2	-0.01221207532138982	1340	1657
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_neuron	P3	0.007072519782259591	122	293
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_severity	P4	-0.057110399961377775	313	133
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_xenium	P5	0.012410208638472624	17	42
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	severity_neuron_residual	P10	-0.05960844369586744	218	117
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_allcell_residual	P8	-0.019162330847800654	1266	1561
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_neuron_residual	P7	0.02259517189172689	72	197
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_shared_concordant_neuronal_core	P6	-0.007765198441314244	44	78
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_early_allcell	P1	-0.029684283390061583	300	329
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_allcell	P2	-0.018501437627560027	1346	1670
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_neuron	P3	0.009353809417034484	123	298
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_severity	P4	-0.06732659377645059	312	134
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_xenium	P5	0.006696148164798609	17	42
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	severity_neuron_residual	P10	-0.07130516017039837	217	118
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_allcell_residual	P8	-0.009971369753367628	1249	1541
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_neuron_residual	P7	0.007867093088966918	71	194
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_shared_concordant_neuronal_core	P6	-0.007101956169940971	43	76
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_early_allcell	P1	-0.00546443603606664	293	327
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_allcell	P2	-0.009672663692295124	1327	1648
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_neuron	P3	0.0014440078819282572	121	292
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_severity	P4	-0.028423201411707445	312	134
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_xenium	P5	0.030734226785054147	17	40
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	severity_neuron_residual	P10	-0.030362410168920446	218	118
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_allcell_residual	P8	-0.012129024639018446	1249	1542
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_neuron_residual	P7	0.010680853761078591	71	196
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_shared_concordant_neuronal_core	P6	-0.0073182477088132485	42	77
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_early_allcell	P1	-0.008570515515820205	293	326
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_allcell	P2	-0.011739339802930088	1325	1650
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_neuron	P3	0.0034730760500307355	120	294
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_severity	P4	-0.03313913964307907	313	134
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_xenium	P5	0.02610099799447005	17	41
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	severity_neuron_residual	P10	-0.035737817397698046	218	118
