program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P8	npsi_total	95	treatmentAZD2423 150 mg:xb_z	0.251884440054827	0.286270296097581	-0.317297602539995	0.821066482649649	0.381403443512882	COMPLETED	0.948517192714509
P8	npsi_total	95	treatmentAZD2423 20 mg:xb_z	0.156501390426256	0.275436980675064	-0.391141118782397	0.704143899634908	0.571401851250924	COMPLETED	0.948517192714509
P8	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.257225945425997	0.338596349352909	-0.415354107498166	0.92980599835016	0.449407567769994	COMPLETED	0.948517192714509
P8	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.118272918030318	0.302337247786447	-0.48228288390248	0.718828719963117	0.696567313399718	COMPLETED	0.948517192714509
P8	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.333803246941074	0.335805618591233	-0.333233362153962	1.00083985603611	0.322840671359805	COMPLETED	0.948517192714509
P8	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.175778126267117	0.312006355763461	-0.44398417085483	0.795540423389064	0.57456180282055	COMPLETED	0.948517192714509
P8	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	0.24550292564362	0.293124842597149	-0.337307791776603	0.828313643063843	0.404639540116646	COMPLETED	0.948517192714509
P8	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	0.0845901975649213	0.272724085140778	-0.457658348516574	0.626838743646416	0.757192653683368	COMPLETED	0.959756822463525
P8	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	0.226157192940388	0.259464563810875	-0.28972787241235	0.742042258293127	0.385865383573574	COMPLETED	0.948517192714509
P8	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	0.0644883740001066	0.250904589695273	-0.434377169529744	0.563353917529958	0.797781779203818	COMPLETED	0.959756822463525
P8	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.0124194849801586	0.341477741433616	-0.691368719390422	0.666529749430104	0.971072754701106	COMPLETED	0.981168781084675
