gene	module	gene_id	current_symbol	mapping_method	is_non_grey	candidate	include_in_block_map	exclusion_reason
COBL	brown	23242	COBL	unique_official_exact	True	True	True	included
GAS7	brown	8522	GAS7	unique_official_exact	True	True	True	included
PECAM1	black	5175	PECAM1	unique_official_exact	True	True	True	included
WSB1	turquoise	26118	WSB1	unique_official_exact	True	True	True	included
LGALS12	yellow	85329	LGALS12	unique_official_exact	True	True	True	included
NQO1	yellow	1728	NQO1	unique_official_exact	True	True	True	included
AQP7	yellow	364	AQP7	unique_official_exact	True	True	True	included
OLFML3	blue	56944	OLFML3	unique_official_exact	True	True	True	included
SYT11	brown	23208	SYT11	unique_official_exact	True	True	True	included
LINC01000	turquoise	402483	LINC01000	unique_official_exact	True	True	True	included
KAT2A	turquoise	2648	KAT2A	unique_official_exact	True	True	True	included
ITGBL1	green	9358	ITGBL1	unique_official_exact	True	True	True	included
TPM2	pink	7169	TPM2	unique_official_exact	True	True	True	included
TGFBI	red	7045	TGFBI	unique_official_exact	True	True	True	included
CXCL14	red	9547	CXCL14	unique_official_exact	True	True	True	included
ZNF536	brown	9745	ZNF536	unique_official_exact	True	True	True	included
BMP8B	brown	656	BMP8B	unique_official_exact	True	True	True	included
ITGAM	blue	3684	ITGAM	unique_official_exact	True	True	True	included
VSIG4	blue	11326	VSIG4	unique_official_exact	True	True	True	included
PTGFR	blue	5737	PTGFR	unique_official_exact	True	True	True	included
PLOD2	yellow	5352	PLOD2	unique_official_exact	True	True	True	included
PLVAP	black	83483	PLVAP	unique_official_exact	True	True	True	included
ACACB	magenta	32	ACACB	unique_official_exact	True	True	True	included
SNRNP70	turquoise	6625	SNRNP70	unique_official_exact	True	True	True	included
DCAF12	blue	25853	DCAF12	unique_official_exact	True	True	True	included
ITGA8	pink	8516	ITGA8	unique_official_exact	True	True	True	included
CTSB	blue	1508	CTSB	unique_official_exact	True	True	True	included
C11orf96	pink	387763	C11orf96	unique_official_exact	True	True	True	included
CTSK	blue	1513	CTSK	unique_official_exact	True	True	True	included
TTC14	turquoise	151613	TTC14	unique_official_exact	True	True	True	included
RYR3	turquoise	6263	RYR3	unique_official_exact	True	True	True	included
GUCY1A2	blue	2977	GUCY1A2	unique_official_exact	True	True	True	included
GRAMD1B	brown	57476	GRAMD1B	unique_official_exact	True	True	True	included
FGF1	brown	2246	FGF1	unique_official_exact	True	True	True	included
TAFA5	brown	25817	TAFA5	unique_official_exact	True	True	True	included
LOC440300	turquoise	440300	LOC440300	unique_official_exact	True	True	True	included
TRIM58	blue	25893	TRIM58	unique_official_exact	True	True	True	included
PARM1	pink	25849	PARM1	unique_official_exact	True	True	True	included
ALDH2	yellow	217	ALDH2	unique_official_exact	True	True	True	included
PNISR	turquoise	25957	PNISR	unique_official_exact	True	True	True	included
CACNA1H	pink	8912	CACNA1H	unique_official_exact	True	True	True	included
IL1R1	yellow	3554	IL1R1	unique_official_exact	True	True	True	included
COL6A3	blue	1293	COL6A3	unique_official_exact	True	True	True	included
PRKCA	brown	5578	PRKCA	unique_official_exact	True	True	True	included
MIR663B	grey	100313824	MIR663B	unique_official_exact	False	False	False	grey_not_a_network_block
NPY1R	yellow	4886	NPY1R	unique_official_exact	True	True	True	included
GLDN	brown	342035	GLDN	unique_official_exact	True	True	True	included
SCUBE1	green	80274	SCUBE1	unique_official_exact	True	True	True	included
THY1	blue	7070	THY1	unique_official_exact	True	True	True	included
SAMHD1	brown	25939	SAMHD1	unique_official_exact	True	True	True	included
SUSD5	pink	26032	SUSD5	unique_official_exact	True	True	True	included
SLC22A3	green	6581	SLC22A3	unique_official_exact	True	True	True	included
ANKRD36B	turquoise	57730	ANKRD36B	unique_official_exact	True	True	True	included
ACSS2	yellow	55902	ACSS2	unique_official_exact	True	True	True	included
