raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
TLL2	TLL2	False	7093	official_exact	TLL2	True
ARSI	ARSI	False	340075	official_exact	ARSI	True
DEPDC7	DEPDC7	False	91614	official_exact	DEPDC7	True
SETBP1	SETBP1	False	26040	official_exact	SETBP1	True
ZNF503	ZNF503	False	84858	official_exact	ZNF503	True
CACNA1A	CACNA1A	False	773	official_exact	CACNA1A	True
LRRN2	LRRN2	False	10446	official_exact	LRRN2	True
KLHL31	KLHL31	False	401265	official_exact	KLHL31	True
COL9A3	COL9A3	False	1299	official_exact	COL9A3	True
TMSB15A	TMSB15A	False	11013	official_exact	TMSB15A	True
NKAIN2	NKAIN2	False	154215	official_exact	NKAIN2	True
RARRES1	RARRES1	False	5918	official_exact	RARRES1	True
ING1	ING1	False	3621	official_exact	ING1	True
KCNA2	KCNA2	False	3737	official_exact	KCNA2	True
CCDC169	CCDC169	False	728591	official_exact	CCDC169	True
RAMP2	RAMP2	False	10266	official_exact	RAMP2	True
FXYD3	FXYD3	False	5349	official_exact	FXYD3	True
EFNA5	EFNA5	False	1946	official_exact	EFNA5	True
TNFRSF25	TNFRSF25	False	8718	official_exact	TNFRSF25	True
PTPRU	PTPRU	False	10076	official_exact	PTPRU	True
OXCT2	OXCT2	False	64064	official_exact	OXCT2	True
ZDHHC3	ZDHHC3	False	51304	official_exact	ZDHHC3	True
ADIPOQ	ADIPOQ	False	9370	official_exact	ADIPOQ	True
SDC2	SDC2	False	6383	official_exact	SDC2	True
APBB2	APBB2	False	323	official_exact	APBB2	True
PRKAR2B	PRKAR2B	False	5577	official_exact	PRKAR2B	True
MAL	MAL	False	4118	official_exact	MAL	True
RASGRF2	RASGRF2	False	5924	official_exact	RASGRF2	True
HTRA1	HTRA1	False	5654	official_exact	HTRA1	True
DGKE	DGKE	False	8526	official_exact	DGKE	True
KCNJ14	KCNJ14	False	3770	official_exact	KCNJ14	True
SAMHD1	SAMHD1	False	25939	official_exact	SAMHD1	True
KLF8	KLF8	False	11279	official_exact	KLF8	True
AJAP1	AJAP1	False	55966	official_exact	AJAP1	True
FAM72C	FAM72C	False	554282	unique_synonym	RUMY3	True
NFKBIZ	NFKBIZ	False	64332	official_exact	NFKBIZ	True
CCDC149	CCDC149	False	91050	official_exact	CCDC149	True
KDR	KDR	False	3791	official_exact	KDR	True
ODF3	ODF3	False	113746	unique_synonym	CIMAP1A	True
FOLH1	FOLH1	False	2346	official_exact	FOLH1	True
RASSF9	RASSF9	False	9182	official_exact	RASSF9	True
KCNIP2	KCNIP2	False	30819	official_exact	KCNIP2	True
CFHR3	CFHR3	False	10878	official_exact	CFHR3	True
SEMA4C	SEMA4C	False	54910	official_exact	SEMA4C	True
DEPDC1B	DEPDC1B	False	55789	official_exact	DEPDC1B	True
TMEM132A	TMEM132A	False	54972	official_exact	TMEM132A	True
CEP152	CEP152	False	22995	official_exact	CEP152	True
AQP9	AQP9	False	366	official_exact	AQP9	True
DCC	DCC	False	1630	official_exact	DCC	True
COL20A1	COL20A1	False	57642	official_exact	COL20A1	True
CYP21A2	CYP21A2	False	1589	official_exact	CYP21A2	True
RHBDF2	RHBDF2	False	79651	official_exact	RHBDF2	True
LRP6	LRP6	False	4040	official_exact	LRP6	True
LRRC3B	LRRC3B	False	116135	official_exact	LRRC3B	True
CDK14	CDK14	False	5218	official_exact	CDK14	True
SRSF7	SRSF7	False	6432	official_exact	SRSF7	True
PTPRK	PTPRK	False	5796	official_exact	PTPRK	True
CLEC2L	CLEC2L	False	154790	official_exact	CLEC2L	True
DMRT3	DMRT3	False	58524	official_exact	DMRT3	True
ZC2HC1C	ZC2HC1C	False	79696	official_exact	ZC2HC1C	True
SPAG5	SPAG5	False	10615	official_exact	SPAG5	True
CCDC62	CCDC62	False	84660	official_exact	CCDC62	True
STMN2	STMN2	False	11075	official_exact	STMN2	True
CLCF1	CLCF1	False	23529	official_exact	CLCF1	True
TAFA5	TAFA5	False	25817	official_exact	TAFA5	True
MCU	MCU	False	90550	official_exact	MCU	True
DACT2	DACT2	False	168002	official_exact	DACT2	True
FRMD8	FRMD8	False	83786	official_exact	FRMD8	True
TBX4	TBX4	False	9496	official_exact	TBX4	True
GFPT1	GFPT1	False	2673	official_exact	GFPT1	True
CNP	CNP	False	1267	official_exact	CNP	True
MTRNR2L6	MTRNR2L6	False	100463482	official_exact	MTRNR2L6	True
FHL1	FHL1	False	2273	official_exact	FHL1	True
FZD8	FZD8	False	8325	official_exact	FZD8	True
ZSWIM6	ZSWIM6	False	57688	official_exact	ZSWIM6	True
ESPN	ESPN	False	83715	official_exact	ESPN	True
MAEL	MAEL	False	84944	official_exact	MAEL	True
PRRX1	PRRX1	False	5396	official_exact	PRRX1	True
FZD6	FZD6	False	8323	official_exact	FZD6	True
MYMK	MYMK	False	389827	official_exact	MYMK	True
FAS	FAS	False	355	official_exact	FAS	True
POSTN	POSTN	False	10631	official_exact	POSTN	True
CILP	CILP	False	8483	official_exact	CILP	True
SOX8	SOX8	False	30812	official_exact	SOX8	True
TRARG1	TRARG1	False	286753	official_exact	TRARG1	True
EPB41L1	EPB41L1	False	2036	official_exact	EPB41L1	True
RAB20	RAB20	False	55647	official_exact	RAB20	True
TGFBR3	TGFBR3	False	7049	official_exact	TGFBR3	True
GPD1	GPD1	False	2819	official_exact	GPD1	True
PNLDC1	PNLDC1	False	154197	official_exact	PNLDC1	True
DHRS2	DHRS2	False	10202	official_exact	DHRS2	True
CES1	CES1	False	1066	official_exact	CES1	True
GRIK3	GRIK3	False	2899	official_exact	GRIK3	True
DCAF4L1	DCAF4L1	False	285429	official_exact	DCAF4L1	True
LIMCH1	LIMCH1	False	22998	official_exact	LIMCH1	True
GSX2	GSX2	False	170825	official_exact	GSX2	True
MICALL2	MICALL2	False	79778	official_exact	MICALL2	True
PAWR	PAWR	False	5074	official_exact	PAWR	True
HEPH	HEPH	False	9843	official_exact	HEPH	True
ITIH5	ITIH5	False	80760	official_exact	ITIH5	True
NEK2	NEK2	False	4751	official_exact	NEK2	True
TUSC3	TUSC3	False	7991	official_exact	TUSC3	True
PARVA	PARVA	False	55742	official_exact	PARVA	True
SPESP1	SPESP1	False	246777	official_exact	SPESP1	True
DPT	DPT	False	1805	official_exact	DPT	True
SKIL	SKIL	False	6498	official_exact	SKIL	True
KIRREL3	KIRREL3	False	84623	official_exact	KIRREL3	True
SOCS3	SOCS3	False	9021	official_exact	SOCS3	True
RCAN1	RCAN1	False	1827	official_exact	RCAN1	True
PTK6	PTK6	False	5753	official_exact	PTK6	True
PGBD5	PGBD5	False	79605	official_exact	PGBD5	True
SERPINI1	SERPINI1	False	5274	official_exact	SERPINI1	True
FGF18	FGF18	False	8817	official_exact	FGF18	True
CEBPD	CEBPD	False	1052	official_exact	CEBPD	True
KCNAB3	KCNAB3	False	9196	official_exact	KCNAB3	True
ANKRD65	ANKRD65	False	441869	official_exact	ANKRD65	True
CBX4	CBX4	False	8535	official_exact	CBX4	True
IPCEF1	IPCEF1	False	26034	official_exact	IPCEF1	True
