module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	113802	HENMT1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	113828	SACK1F	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1139	CHRNA7	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1141	CHRNB2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	114132	SIGLEC11	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1142	CHRNB3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	114294	LACTB	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	114757	CYGB	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114798	SLITRK1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	114805	GALNT13	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	114818	KLHL29	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114822	RHPN1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114879	OSBPL5	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1149	CIDEA	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114904	C1QTNF6	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114905	C1QTNF7	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	114908	TMEM123	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	115209	OMA1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	115399	LRRC56	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1154	CISH	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	115548	FCHO2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	115861	NXNL1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116039	OSR2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116115	ZNF526	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116151	MIMS2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	116255	MOGAT1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116328	C8orf34	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	116362	RBP7	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116372	LYPD1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1164	CKS2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	116442	RAB39B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	116447	TOP1MT	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116534	MRGPRE	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	116535	MRGPRF	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	116835	HSPA12B	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	117166	WFIKKN1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	117178	SSX2IP	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	117247	SLC16A10	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	117248	GALNT15	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1182	CLCN3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1183	CLCN4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	118424	UBE2J2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	118427	OLFM3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	118461	C10orf71	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	118738	ZNF488	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	118924	FRA10AC1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	118987	PDZD8	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	119	ADD2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1195	CLK1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	119774	OR52K2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	120114	FAT3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	120224	TMEM45B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1207	CLNS1A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	120863	DEPDC4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1211	CLTA	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	121256	TMEM132D	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1213	CLTC	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	121504	H4C16	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	121601	ANO4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	121665	SPPL3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	122394733	TMSB15C	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	122525	DORIP1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	123036	TC2N	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	123041	SLC24A4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	123355	LRRC28	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1235	CCR6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	124	ADH1A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	124093	CCDC78	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	124152	IQCK	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1244	ABCC2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	124842	TMEM132E	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	124925	SEZ6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	125	ADH1B	up	late_allcell_DPN_vs_diabetes
