family	parent	gene_id	symbol	direction	bin	partner_direction	partner_status
late_allcell	original_late_allcell	25864	ABHD14A	down	residual	absent	absent
late_allcell	original_late_allcell	25878	MXRA5	down	residual	absent	absent
late_allcell	original_late_allcell	25894	PLEKHG4	up	residual	absent	absent
late_allcell	original_late_allcell	25914	RTTN	down	residual	absent	absent
late_allcell	original_late_allcell	259173	ALS2CL	up	residual	absent	absent
late_allcell	original_late_allcell	259249	MRGPRX1	down	residual	absent	absent
late_allcell	original_late_allcell	25925	ZNF521	up	residual	absent	absent
late_allcell	original_late_allcell	25928	SOSTDC1	down	residual	absent	absent
late_allcell	original_late_allcell	259282	BOD1L1	down	residual	absent	absent
late_allcell	original_late_allcell	25932	CLIC4	down	core	down	eligible
late_allcell	original_late_allcell	25938	HEATR5A	down	residual	absent	absent
late_allcell	original_late_allcell	25950	RWDD3	down	residual	absent	absent
late_allcell	original_late_allcell	25956	SEC31B	up	residual	absent	absent
late_allcell	original_late_allcell	25959	KANK2	up	residual	absent	absent
late_allcell	original_late_allcell	25962	VIRMA	down	residual	absent	absent
late_allcell	original_late_allcell	25987	TSKU	up	residual	absent	absent
late_allcell	original_late_allcell	25992	SNED1	up	residual	absent	absent
late_allcell	original_late_allcell	25999	CLIP3	down	residual	absent	absent
late_allcell	original_late_allcell	26011	TENM4	down	residual	absent	absent
late_allcell	original_late_allcell	26017	FAM32A	down	residual	absent	absent
late_allcell	original_late_allcell	26024	PTCD1	up	residual	absent	absent
late_allcell	original_late_allcell	26025	PCDHGA12	up	residual	absent	absent
late_allcell	original_late_allcell	26030	PLEKHG3	up	residual	absent	absent
late_allcell	original_late_allcell	26031	OSBPL3	down	residual	absent	absent
late_allcell	original_late_allcell	26033	ATRNL1	down	core	down	eligible
late_allcell	original_late_allcell	26035	GLCE	down	residual	absent	absent
late_allcell	original_late_allcell	26040	SETBP1	up	residual	absent	absent
late_allcell	original_late_allcell	26047	CNTNAP2	down	residual	absent	absent
late_allcell	original_late_allcell	26049	FAM169A	down	residual	absent	absent
late_allcell	original_late_allcell	26051	PPP1R16B	up	residual	absent	absent
late_allcell	original_late_allcell	26059	ERC2	down	residual	absent	absent
late_allcell	original_late_allcell	26074	CFAP61	up	residual	absent	absent
late_allcell	original_late_allcell	26086	GPSM1	up	residual	absent	absent
late_allcell	original_late_allcell	26093	CCDC9	up	residual	absent	absent
late_allcell	original_late_allcell	26112	CCDC69	up	residual	absent	absent
late_allcell	original_late_allcell	26128	KIFBP	down	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	26140	TTLL3	up	residual	absent	absent
late_allcell	original_late_allcell	2615	LRRC32	up	residual	absent	absent
late_allcell	original_late_allcell	26150	RIBC2	up	residual	absent	absent
late_allcell	original_late_allcell	261729	STEAP2	down	residual	absent	absent
late_allcell	original_late_allcell	26173	INTS1	up	residual	absent	absent
late_allcell	original_late_allcell	2620	GAS2	down	residual	absent	absent
late_allcell	original_late_allcell	26205	GMEB2	up	residual	absent	absent
late_allcell	original_late_allcell	26228	STAP1	up	residual	absent	absent
late_allcell	original_late_allcell	26233	FBXL6	up	residual	absent	absent
late_allcell	original_late_allcell	2624	GATA2	up	residual	absent	absent
late_allcell	original_late_allcell	26245	OR2M4	down	residual	absent	absent
late_allcell	original_late_allcell	26246	OR2L2	down	residual	absent	absent
late_allcell	original_late_allcell	2625	GATA3	up	residual	absent	absent
late_allcell	original_late_allcell	26256	CABYR	down	residual	absent	absent
late_allcell	original_late_allcell	2627	GATA6	up	residual	absent	absent
late_allcell	original_late_allcell	2628	GATM	down	residual	absent	absent
late_allcell	original_late_allcell	26287	ANKRD2	up	residual	absent	absent
