raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
MIR4256	MIR4256	False	100422976	official_exact	MIR4256	True
MIR4257	MIR4257	False	100422997	official_exact	MIR4257	True
MIR4258	MIR4258	False	100423020	official_exact	MIR4258	True
MIR4260	MIR4260	False	100422894	official_exact	MIR4260	True
MIR4261	MIR4261	False	100422929	official_exact	MIR4261	True
MIR4262	MIR4262	False	100422996	official_exact	MIR4262	True
MIR4263	MIR4263	False	100422965	official_exact	MIR4263	True
MIR4264	MIR4264	False	100422888	official_exact	MIR4264	True
MIR4265	MIR4265	False	100422863	official_exact	MIR4265	True
MIR4266	MIR4266	False	100423027	official_exact	MIR4266	True
MIR4267	MIR4267	False	100422994	official_exact	MIR4267	True
MIR4268	MIR4268	False	100422959	official_exact	MIR4268	True
MIR4269	MIR4269	False	100423043	official_exact	MIR4269	True
MIR4270	MIR4270	False	100422868	official_exact	MIR4270	True
MIR4271	MIR4271	False	100422952	official_exact	MIR4271	True
MIR4272	MIR4272	False	100422941	official_exact	MIR4272	True
MIR4273	MIR4273	False	100422955	official_exact	MIR4273	True
MIR4274	MIR4274	False	100422826	official_exact	MIR4274	True
MIR4275	MIR4275	False	100422937	official_exact	MIR4275	True
MIR4276	MIR4276	False	100423042	official_exact	MIR4276	True
MIR4277	MIR4277	False	100422966	official_exact	MIR4277	True
MIR4278	MIR4278	False	100422999	official_exact	MIR4278	True
MIR4279	MIR4279	False	100422874	official_exact	MIR4279	True
MIR4280	MIR4280	False	100422887	official_exact	MIR4280	True
MIR4281	MIR4281	False	100422962	official_exact	MIR4281	True
MIR4282	MIR4282	False	100423005	official_exact	MIR4282	True
MIR4283-1	MIR4283-1	False	100422917	official_exact	MIR4283-1	True
MIR4283-2	MIR4283-2	False	100422848	official_exact	MIR4283-2	True
MIR4284	MIR4284	False	100422948	official_exact	MIR4284	True
MIR4285	MIR4285	False	100422858	official_exact	MIR4285	True
MIR4287	MIR4287	False	100422828	official_exact	MIR4287	True
MIR4288	MIR4288	False	100422903	official_exact	MIR4288	True
MIR4289	MIR4289	False	100423015	official_exact	MIR4289	True
MIR429	MIR429	False	554210	official_exact	MIR429	True
MIR4290	MIR4290	False	100422963	official_exact	MIR4290	True
MIR4291	MIR4291	False	100422927	official_exact	MIR4291	True
MIR4292	MIR4292	False	100422860	official_exact	MIR4292	True
MIR4294	MIR4294	False	100422895	official_exact	MIR4294	True
MIR4295	MIR4295	False	100422909	official_exact	MIR4295	True
MIR4296	MIR4296	False	100423041	official_exact	MIR4296	True
MIR4297	MIR4297	False	100422873	official_exact	MIR4297	True
MIR4298	MIR4298	False	100423021	official_exact	MIR4298	True
MIR4299	MIR4299	False	100423026	official_exact	MIR4299	True
MIR4300	MIR4300	False	100422823	official_exact	MIR4300	True
MIR4301	MIR4301	False	100422855	official_exact	MIR4301	True
MIR4302	MIR4302	False	100422897	official_exact	MIR4302	True
MIR4303	MIR4303	False	100422924	official_exact	MIR4303	True
MIR4304	MIR4304	False	100422931	official_exact	MIR4304	True
MIR4305	MIR4305	False	100422940	official_exact	MIR4305	True
MIR4306	MIR4306	False	100422861	official_exact	MIR4306	True
MIR4307	MIR4307	False	100423019	official_exact	MIR4307	True
MIR4308	MIR4308	False	100422984	official_exact	MIR4308	True
MIR4309	MIR4309	False	100422954	official_exact	MIR4309	True
MIR431	MIR431	False	574038	official_exact	MIR431	True
MIR4310	MIR4310	False	100423013	official_exact	MIR4310	True
MIR4311	MIR4311	False	100422905	official_exact	MIR4311	True
MIR4312	MIR4312	False	100422971	official_exact	MIR4312	True
MIR4313	MIR4313	False	100423035	official_exact	MIR4313	True
MIR4314	MIR4314	False	100422983	official_exact	MIR4314	True
MIR4315-1	MIR4315-1	False	100423004	official_exact	MIR4315-1	True
MIR4315-2	MIR4315-2	False	100422961	official_exact	MIR4315-2	True
MIR4316	MIR4316	False	100422851	official_exact	MIR4316	True
MIR4317	MIR4317	False	100422840	official_exact	MIR4317	True
MIR4318	MIR4318	False	100422857	official_exact	MIR4318	True
MIR4319	MIR4319	False	100422829	official_exact	MIR4319	True
MIR432	MIR432	False	574451	official_exact	MIR432	True
MIR4320	MIR4320	False	100422865	official_exact	MIR4320	True
MIR4321	MIR4321	False	100423031	official_exact	MIR4321	True
MIR4322	MIR4322	False	100422925	official_exact	MIR4322	True
MIR4323	MIR4323	False	100422980	official_exact	MIR4323	True
MIR4324	MIR4324	False	100422979	official_exact	MIR4324	True
MIR4325	MIR4325	False	100422883	official_exact	MIR4325	True
MIR4326	MIR4326	False	100422945	official_exact	MIR4326	True
MIR4327	MIR4327	False	100422891	official_exact	MIR4327	True
MIR4328	MIR4328	False	100422932	official_exact	MIR4328	True
MIR4329	MIR4329	False	100423009	official_exact	MIR4329	True
MIR433	MIR433	False	574034	official_exact	MIR433	True
MIR4330	MIR4330	False	100422930	official_exact	MIR4330	True
MIR4417	MIR4417	False		unresolved_or_ambiguous		False
MIR4420	MIR4420	False	100616164	official_exact	MIR4420	True
MIR4422	MIR4422	False	100616272	official_exact	MIR4422	True
MIR4423	MIR4423	False	100616481	official_exact	MIR4423	True
MIR4424	MIR4424	False	100616328	official_exact	MIR4424	True
MIR4426	MIR4426	False	100616345	official_exact	MIR4426	True
MIR4427	MIR4427	False	100616390	official_exact	MIR4427	True
MIR4429	MIR4429	False	100616469	official_exact	MIR4429	True
MIR4432	MIR4432	False	100616473	official_exact	MIR4432	True
MIR4434	MIR4434	False	100616419	official_exact	MIR4434	True
MIR4435-1	MIR4435-1	False	100616499	official_exact	MIR4435-1	True
MIR4435-1HG	MIR4435-1HG	False	541471	unique_synonym	MIR4435-2HG	True
MIR4435-2	MIR4435-2	False	100616341	official_exact	MIR4435-2	True
MIR4436A	MIR4436A	False	100616399	official_exact	MIR4436A	True
MIR4436B1	MIR4436B1	False	100616123	official_exact	MIR4436B1	True
MIR4436B2	MIR4436B2	False	100847033	official_exact	MIR4436B2	True
MIR4437	MIR4437	False	100616213	official_exact	MIR4437	True
MIR4439	MIR4439	False	100616207	official_exact	MIR4439	True
MIR4440	MIR4440	False	100616397	official_exact	MIR4440	True
MIR4441	MIR4441	False	100616493	official_exact	MIR4441	True
MIR4442	MIR4442	False	100616477	official_exact	MIR4442	True
MIR4443	MIR4443	False	100616407	official_exact	MIR4443	True
MIR4444-1	MIR4444-1	False	100616394	official_exact	MIR4444-1	True
MIR4444-2	MIR4444-2	False	100846999	official_exact	MIR4444-2	True
MIR4446	MIR4446	False	100616476	official_exact	MIR4446	True
MIR4449	MIR4449	False	100616436	official_exact	MIR4449	True
MIR4450	MIR4450	False	100616299	official_exact	MIR4450	True
MIR4451	MIR4451	False	100616349	official_exact	MIR4451	True
MIR4453	MIR4453	False	100616193	official_exact	MIR4453	True
MIR4454	MIR4454	False	100616234	official_exact	MIR4454	True
MIR4456	MIR4456	False	100616381	official_exact	MIR4456	True
MIR4457	MIR4457	False	100616235	official_exact	MIR4457	True
MIR4458	MIR4458	False	100616142	official_exact	MIR4458	True
MIR4458HG	MIR4458HG	False	100505738	official_exact	MIR4458HG	True
MIR4460	MIR4460	False	100616325	official_exact	MIR4460	True
MIR4461	MIR4461	False		unresolved_or_ambiguous		False
MIR4462	MIR4462	False	100616413	official_exact	MIR4462	True
MIR4464	MIR4464	False	100616109	official_exact	MIR4464	True
MIR4465	MIR4465	False	100616180	official_exact	MIR4465	True
MIR4466	MIR4466	False	100616154	official_exact	MIR4466	True
MIR4467	MIR4467	False	100616367	official_exact	MIR4467	True
MIR4468	MIR4468	False	100616226	official_exact	MIR4468	True
MIR4469	MIR4469	False	100616115	official_exact	MIR4469	True
MIR4470	MIR4470	False	100616484	official_exact	MIR4470	True
MIR4471	MIR4471	False	100616451	official_exact	MIR4471	True
MIR4472-1	MIR4472-1	False	100616268	official_exact	MIR4472-1	True
MIR4472-2	MIR4472-2	False	100616309	official_exact	MIR4472-2	True
MIR4473	MIR4473	False	100616229	official_exact	MIR4473	True
MIR4474	MIR4474	False	100616441	official_exact	MIR4474	True
MIR4475	MIR4475	False	100616289	official_exact	MIR4475	True
MIR4476	MIR4476	False	100616456	official_exact	MIR4476	True
MIR4478	MIR4478	False	100616312	official_exact	MIR4478	True
MIR4479	MIR4479	False	100616480	official_exact	MIR4479	True
MIR448	MIR448	False	554212	official_exact	MIR448	True
MIR4480	MIR4480	False	100616151	official_exact	MIR4480	True
MIR4482	MIR4482	False	100616323	official_exact	MIR4482	True
MIR4483	MIR4483	False	100616162	official_exact	MIR4483	True
MIR4484	MIR4484	False	100616327	official_exact	MIR4484	True
MIR4485	MIR4485	False	100616263	official_exact	MIR4485	True
MIR4486	MIR4486	False	100616118	official_exact	MIR4486	True
MIR4488	MIR4488	False	100616470	official_exact	MIR4488	True
MIR4489	MIR4489	False	100616284	official_exact	MIR4489	True
MIR4490	MIR4490	False	100616186	official_exact	MIR4490	True
MIR4491	MIR4491	False	100616330	official_exact	MIR4491	True
MIR4492	MIR4492	False	100616376	official_exact	MIR4492	True
MIR4493	MIR4493	False	100616319	official_exact	MIR4493	True
MIR4497	MIR4497	False	100616454	official_exact	MIR4497	True
MIR4498	MIR4498	False	100616179	official_exact	MIR4498	True
MIR4499	MIR4499	False	100616304	official_exact	MIR4499	True
MIR449A	MIR449A	False	554213	official_exact	MIR449A	True
MIR449B	MIR449B	False	693123	official_exact	MIR449B	True
MIR449C	MIR449C	False	100313923	official_exact	MIR449C	True
MIR4500	MIR4500	False	100616182	official_exact	MIR4500	True
MIR4500HG	MIR4500HG	False	642345	official_exact	MIR4500HG	True
MIR4503	MIR4503	False	100616280	official_exact	MIR4503	True
MIR4505	MIR4505	False	100616158	official_exact	MIR4505	True
MIR4508	MIR4508	False	100616275	official_exact	MIR4508	True
MIR4509-1	MIR4509-1	False	100616223	official_exact	MIR4509-1	True
MIR4509-2	MIR4509-2	False	100616228	official_exact	MIR4509-2	True
MIR4509-3	MIR4509-3	False	100616382	official_exact	MIR4509-3	True
MIR450A1	MIR450A1	False	554214	official_exact	MIR450A1	True
MIR450A2	MIR450A2	False	574505	official_exact	MIR450A2	True
MIR450B	MIR450B	False	100126302	official_exact	MIR450B	True
MIR4510	MIR4510	False	100616293	official_exact	MIR4510	True
MIR4511	MIR4511	False	100616379	official_exact	MIR4511	True
MIR4513	MIR4513	False	100616183	official_exact	MIR4513	True
MIR4514	MIR4514	False	100616181	official_exact	MIR4514	True
MIR4515	MIR4515	False	100616404	official_exact	MIR4515	True
MIR4516	MIR4516	False	100616258	official_exact	MIR4516	True
MIR4517	MIR4517	False	100616487	official_exact	MIR4517	True
MIR4518	MIR4518	False	100616405	official_exact	MIR4518	True
MIR4519	MIR4519	False	100616231	official_exact	MIR4519	True
MIR451A	MIR451A	False	574411	official_exact	MIR451A	True
MIR451B	MIR451B	False	100616273	official_exact	MIR451B	True
