endpoint	version	module_id	status	n_total	n_positive	n_negative	mean_difference	ci_low	ci_high	t	p	hedges_g	fixed_direction_auc	missing	exact	permutations	reason	q_BH_common_method
original_hDRG_DPN_control	legacy_inherited	late_allcell_residual	COMPLETED	12.0	5.0	7.0	0.0228749564795705	0.0057841219840736	0.0386859472981467	1.632708548339446	0.1433333333333333	0.9323115515160124	0.8285714285714286	0.0	True	300.0		0.3733333333333333
original_hDRG_DPN_control	legacy_inherited	late_neuron_residual	COMPLETED	12.0	5.0	7.0	-0.0029709241244214	-0.0088702443387521	0.0033608458383795	-0.714896066036979	0.4333333333333333	-0.3931879617935962	0.3142857142857143	0.0	True	300.0		0.6190476190476191
original_hDRG_DPN_control	legacy_inherited	late_shared_concordant_neuronal_core	COMPLETED	12.0	5.0	7.0	0.029397849461738	0.0148408163642889	0.0432806554988971	1.8503356166157088	0.1166666666666666	1.163797208521223	0.8	0.0	True	300.0		0.3733333333333333
original_hDRG_DPN_control	legacy_inherited	original_early_allcell	COMPLETED	12.0	5.0	7.0	-0.0024427204169037	-0.0165263052279701	0.012296897166294	-0.2714568985699171	0.81	-0.1327033096316047	0.3428571428571428	0.0	True	300.0		0.81
original_hDRG_DPN_control	legacy_inherited	original_late_allcell	COMPLETED	12.0	5.0	7.0	0.023229369237772	0.0062729959696464	0.0388727773644634	1.6516642035317042	0.1366666666666666	0.9498937924826804	0.8285714285714286	0.0	True	300.0		0.3733333333333333
original_hDRG_DPN_control	legacy_inherited	original_late_neuron	COMPLETED	12.0	5.0	7.0	0.004604402421966	-0.0002848637912004	0.0096313024700964	1.2794502575470428	0.23	0.7508028137723731	0.7428571428571429	0.0	True	300.0		0.3833333333333333
original_hDRG_DPN_control	legacy_inherited	original_severity	COMPLETED	12.0	5.0	7.0	0.0080936559519575	0.0015858042172001	0.0152159990596618	1.5924783147839594	0.1566666666666666	0.8626916405764161	0.7714285714285715	0.0	True	300.0		0.3733333333333333
original_hDRG_DPN_control	legacy_inherited	original_xenium	COMPLETED	12.0	5.0	7.0	0.0185822161277532	-0.0324572177132934	0.0673152059359869	0.5737641359235457	0.6	0.2983657992203521	0.6	0.0	True	300.0		0.6888888888888889
original_hDRG_DPN_control	legacy_inherited	severity_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0083352305021109	0.0008748603933533	0.0164050423436351	1.4478602793951492	0.1866666666666666	0.787542199189942	0.7714285714285715	0.0	True	300.0		0.3733333333333333
original_hDRG_DPN_control	legacy_inherited	severity_neuron_shared_concordant_core	COMPLETED	12.0	5.0	7.0	-0.0015810806455313	-0.0068675410329264	0.0036745971389684	-0.5237646482923847	0.62	-0.2819732471509146	0.3142857142857143	0.0	True	300.0		0.6888888888888889
original_hDRG_DPN_control	repaired_inherited	late_allcell_residual	COMPLETED	12.0	5.0	7.0	0.0229148545420468	0.0057892431115956	0.0387365333629009	1.6303681410347068	0.1433333333333333	0.9316326271085807	0.8285714285714286	0.0	True	300.0		0.26
