source	program	version	model	status_new	reason_new	effect_new	p_new	ci_low_new	ci_high_new	rank_new	columns_new	n_new	residual_df_new	condition_number_new	group_R2_from_proxy_covariates_new	missing_response	q_new	status_old	reason_old	effect_old	p_old	ci_low_old	ci_high_old	rank_old	columns_old	n_old	residual_df_old	condition_number_old	effect_change_from_unadjusted	proxy_panels	Y	group_R2_from_proxy_covariates_old	q_old
GSE148059	original_early_allcell	repaired_inherited	unadjusted	COMPLETED	observational_HC3	0.0028976851868576	0.1681536875958013	-0.0012232846919192	0.0070186550656345	3.0	3.0	77	74.0	3.6679022544871023			0.6053532753448846	COMPLETED	observational_HC3	0.0028976851868576	0.1681536875958035	-0.0012232846919192	0.0070186550656345	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE148059	original_early_allcell	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0008970643492846	0.4934934184090294	-0.0016705591024312	0.0034646878010006	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.8044755490217894	COMPLETED	observational_HC3	0.0008970643492846	0.49349341840905	-0.0016705591024312	0.0034646878010005	5	5	77	72	5.251844318993566	-0.002000620837573	8	unchanged_Batch01_cached_score	0.2484841870879437	0.7592206437062308
GSE148059	original_late_allcell	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-5.809925223012407e-05	0.9691835773856884	-0.0030056986384882	0.0028895001340279	3.0	3.0	77	74.0	3.6679022544871023			0.989221731522276	COMPLETED	observational_HC3	-5.817562761656465e-05	0.9688631014172984	-0.002979256641202	0.0028629053859689	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.979602815753176
GSE148059	original_late_allcell	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0001525856045641	0.8901661976636703	-0.002013058676525	0.0023182298856533	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.9128368746278857	COMPLETED	observational_HC3	0.0001508183068666	0.8904089186872622	-0.0019945138617973	0.0022961504755306	5	5	77	72	5.251844318993566	0.0002089939344831	8	unchanged_Batch01_cached_score	0.2484841870879437	0.9267145304170862
GSE148059	original_late_neuron	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0009425507423654	0.4417857232763255	-0.0033442805339302	0.0014591790491993	3.0	3.0	77	74.0	3.6679022544871023			0.8027437882661256	COMPLETED	observational_HC3	-0.0004640982107162	0.554570252845189	-0.0020034049077497	0.0010752084863172	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE148059	original_late_neuron	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0001641781749877	0.789287450943396	-0.0010399383971589	0.0013682947471344	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.9128368746278857	COMPLETED	observational_HC3	0.0002287617150482	0.5668022815623971	-0.0005540426533036	0.0010115660834	5	5	77	72	5.251844318993566	0.0006928599257644	8	unchanged_Batch01_cached_score	0.2484841870879437	0.8097175450891387
GSE148059	original_severity	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0005267280691267	0.57749801504383	-0.0023800283514586	0.0013265722132052	3.0	3.0	77	74.0	3.6679022544871023			0.8027437882661256	COMPLETED	observational_HC3	-0.0005590583596726	0.5275068488574459	-0.0022933188687231	0.0011752021493779	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE148059	original_severity	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	-0.0008687760207373	0.3230712869522676	-0.0025919373783617	0.0008543853368869	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.7437221416463349	COMPLETED	observational_HC3	-0.0008565556358617	0.3051157852432671	-0.0024935894127749	0.0007804781410514	5	5	77	72	5.251844318993566	-0.0002974972761891	8	unchanged_Batch01_cached_score	0.2484841870879437	0.7013172294995271
GSE148059	original_xenium	repaired_inherited	unadjusted	COMPLETED	observational_HC3	0.0012803948479413	0.2594594350285466	-0.0009450154552856	0.0035058051511684	3.0	3.0	77	74.0	3.6679022544871023			0.7783783050856399	COMPLETED	observational_HC3	0.0012803948479413	0.2594594350285601	-0.0009450154552856	0.0035058051511684	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE148059	original_xenium	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0013471198514723	0.2471364246494878	-0.0009342519637367	0.0036284916666814	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.7437221416463349	COMPLETED	observational_HC3	0.0013471198514724	0.2471364246494551	-0.0009342519637366	0.0036284916666815	5	5	77	72	5.251844318993566	6.672500353109415e-05	8	unchanged_Batch01_cached_score	0.2484841870879437	0.7013172294995271
