program	celltype	contrast	minimum_nuclei	n_case_new	n_control_new	mean_difference_new	p_new	ci_low_new	ci_high_new	status_new	reason_new	allocations_new	permutations_new	absolute_Welch_t_new	q_new	n_case_old	n_control_old	mean_difference_old	p_old	ci_low_old	ci_high_old	status_old	reason_old	allocations_old	permutations_old	absolute_Welch_t_old	q_old
late_allcell_residual	Perineurial	VN_minus_CTRL	20	5	4	0.0091181028461521				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0079496698367404				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Schwann	CIDP_minus_CTRL	20	9	4	0.0091831544430546	0.179020979020979	-0.0013144261329407	0.019799186161242	COMPLETED	unadjusted_observational_association	715.0	715.0	1.5215815494174716	0.5647058823529412	9	4	0.0117037963296937	0.1342657342657342	0.0004174156587608	0.0231044469485866	COMPLETED	unadjusted_observational_association	715.0	715.0	1.820701567432691	0.4615384615384615
late_allcell_residual	Schwann	CIAP_minus_CTRL	20	11	4	0.0137103610919214	0.1047619047619047	0.0011651629479576	0.0298595728555591	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.7695160430708363	0.5208791208791209	11	4	0.0148108587749797	0.0908424908424908	0.0020929430979363	0.0306108532481626	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.93005072135235	0.4411588411588411
late_allcell_residual	Schwann	VN_minus_CTRL	20	5	4	0.0241056530133233				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0230809143177752				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Vascular_endothelial	CIDP_minus_CTRL	20	9	4	-0.0021793824246366	0.5244755244755245	-0.0076633716646463	0.0035280550298505	COMPLETED	unadjusted_observational_association	715.0	715.0	0.6978208095823891	0.7973163678426837	9	4	-0.0016301114713197	0.5986013986013986	-0.0064139332917656	0.0036161998601315	COMPLETED	unadjusted_observational_association	715.0	715.0	0.5728534832069199	0.8275862068965517
late_allcell_residual	Vascular_endothelial	CIAP_minus_CTRL	20	11	4	-0.0025439655263411	0.4556776556776556	-0.0079737068646468	0.0034262507110508	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.8122259681619977	0.7946488294314381	11	4	-0.0023956341696234	0.4402930402930403	-0.007462209184084	0.0029280237247224	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.8327264929205455	0.7494349622009197
late_allcell_residual	Vascular_endothelial	VN_minus_CTRL	20	5	4	-0.0039768234567192				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.003418261992869				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Adipocyte	CIDP_minus_CTRL	20	6	2	0.0054311370928574				NOT_EVALUABLE	fewer_than_four_donors_per_group					6	2	0.0083008918486464				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Adipocyte	CIAP_minus_CTRL	20	10	2	0.0113383609182806				NOT_EVALUABLE	fewer_than_four_donors_per_group					10	2	0.0105017236293868				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Adipocyte	VN_minus_CTRL	20	2	2	0.0119672644229573				NOT_EVALUABLE	fewer_than_four_donors_per_group					2	2	0.0124597237580716				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Endoneurial	CIDP_minus_CTRL	20	9	4	-0.0061086154670699	0.5006993006993007	-0.0211302993339337	0.0066795462106743	COMPLETED	unadjusted_observational_association	715.0	715.0	0.7340924357590575	0.7946488294314381	9	4	0.0136498215051742	0.1272727272727272	-0.0006184955475859	0.0272435476536646	COMPLETED	unadjusted_observational_association	715.0	715.0	1.7134450301244175	0.4615384615384615
late_neuron_residual	Endoneurial	CIAP_minus_CTRL	20	11	4	-0.0078075186130428	0.3736263736263736	-0.0235797298297773	0.0031357076258616	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.999831055886626	0.6987298415869845	11	4	0.0078353289713427	0.2857142857142857	-0.0052605509922008	0.0186926930209062	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.1390132205218912	0.6349206349206349
late_neuron_residual	Endoneurial	VN_minus_CTRL	20	5	4	-0.0021295867046996				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0072020243564762				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Epineurial	CIDP_minus_CTRL	20	9	4	-0.003420063489624	0.7846153846153846	-0.0233315946202542	0.015709888164523	COMPLETED	unadjusted_observational_association	715.0	715.0	0.2933042908301123	0.9415384615384614	9	4	0.0132230733908992	0.2391608391608391	-0.0061850759364966	0.0286373897386752	COMPLETED	unadjusted_observational_association	715.0	715.0	1.3268168065190038	0.5950972104818258
late_neuron_residual	Epineurial	CIAP_minus_CTRL	20	11	4	-0.0026437307469761	0.8234432234432234	-0.0221521427558939	0.0149210480393875	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.2349848062511779	0.9536368393511252	11	4	0.0114174365868743	0.2622710622710623	-0.0066833847688305	0.0251212004148175	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.1987566922239796	0.6171083818142642
late_neuron_residual	Epineurial	VN_minus_CTRL	20	5	4	-0.0042867838402656				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0024253706065015				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Granulocyte	CIDP_minus_CTRL	20	0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Granulocyte	CIAP_minus_CTRL	20	2	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					2	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Granulocyte	VN_minus_CTRL	20	0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Lymphatic_endothelial	CIDP_minus_CTRL	20	6	2	-0.0085560971334673				NOT_EVALUABLE	fewer_than_four_donors_per_group					6	2	0.0085169454617641				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Lymphatic_endothelial	CIAP_minus_CTRL	20	8	2	0.0015358712130258				NOT_EVALUABLE	fewer_than_four_donors_per_group					8	2	0.0137188459665575				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Lymphatic_endothelial	VN_minus_CTRL	20	0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Lymphoid	CIDP_minus_CTRL	20	9	4	-0.0204816521625304	0.4517482517482517	-0.0646360965040689	0.0245211799236611	COMPLETED	unadjusted_observational_association	715.0	715.0	0.7845625140248956	0.7946488294314381	9	4	-0.0096542132846742	0.6139860139860139	-0.0417503790328622	0.021275291764502	COMPLETED	unadjusted_observational_association	715.0	715.0	0.5314649032668483	0.8325234087945951
late_neuron_residual	Lymphoid	CIAP_minus_CTRL	20	11	4	-0.0143594185930902	0.5802197802197803	-0.0544415439890076	0.0272643617949089	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.5935421173130421	0.8272440430856274	11	4	-0.0024423101611294	0.8769230769230769	-0.0296078996716486	0.0255805257682475	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.1468307996197141	0.9727415441701156
late_neuron_residual	Lymphoid	VN_minus_CTRL	20	5	4	-0.0049087050069327				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0007506897020188				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Macrophage	CIDP_minus_CTRL	20	9	4	-0.0239752886807099	0.2489510489510489	-0.0574341945135699	0.0104903726104587	COMPLETED	unadjusted_observational_association	715.0	715.0	1.251979174651386	0.6097224809089216	9	4	-0.0110295964135995	0.5174825174825175	-0.0386068526096336	0.0173184717446251	COMPLETED	unadjusted_observational_association	715.0	715.0	0.6815143042466644	0.7760141093474426
late_neuron_residual	Macrophage	CIAP_minus_CTRL	20	11	4	-0.0034971982120432	0.8051282051282052	-0.0281508522947974	0.0207848560385441	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.2423266243865176	0.9503152585119798	11	4	0.007292638282937	0.6	-0.0144801139076273	0.0300054781370454	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.5472825762672835	0.8275862068965517
late_neuron_residual	Macrophage	VN_minus_CTRL	20	5	4	-0.0084111433138559				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.0011121295758564				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Mast	CIDP_minus_CTRL	20	6	2	-0.0360966267116996				NOT_EVALUABLE	fewer_than_four_donors_per_group					6	2	-0.0077879823490603				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Mast	CIAP_minus_CTRL	20	9	2	-0.0148718748137743				NOT_EVALUABLE	fewer_than_four_donors_per_group					9	2	0.001867519171035				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Mast	VN_minus_CTRL	20	0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_neuron_residual	Mural	CIDP_minus_CTRL	20	9	4	-0.0167391561842043	0.0349650349650349	-0.0290578212663949	-0.0044444142110189	COMPLETED	unadjusted_observational_association	715.0	715.0	2.465095695010931	0.5034965034965035	9	4	-0.0098697516550448	0.0321678321678321	-0.0152667408158867	-0.00414807162129	COMPLETED	unadjusted_observational_association	715.0	715.0	3.2403484318232616	0.3636363636363636
late_neuron_residual	Mural	CIAP_minus_CTRL	20	11	4	-0.0176051821081155	0.0285714285714285	-0.0284802004949184	-0.0063227288835772	COMPLETED	unadjusted_observational_association	1365.0	1365.0	2.771668676786112	0.4571428571428571	11	4	-0.0121766184703992	0.0058608058608058	-0.0169392543369082	-0.0072138808402006	COMPLETED	unadjusted_observational_association	1365.0	1365.0	4.376736287232965	0.1875457875457875
late_neuron_residual	Mural	VN_minus_CTRL	20	5	4	-0.0141381329476964				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.011203944711999				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Perineurial	CIDP_minus_CTRL	20	9	4	0.0017065838860897	0.7776223776223776	-0.0096131781978108	0.0128957838452618	COMPLETED	unadjusted_observational_association	715.0	715.0	0.2564095854765149	0.9409884233413646	9	4	0.0087695976955598	0.3706293706293706	-0.0033096597624777	0.0229080460391433	COMPLETED	unadjusted_observational_association	715.0	715.0	1.1004194211204146	0.7103594080338267
late_neuron_residual	Perineurial	CIAP_minus_CTRL	20	11	4	-0.0092270341470934	0.1948717948717948	-0.0197735221904323	0.0018048924627142	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.459311139175568	0.5647058823529412	11	4	-0.0088756572017411	0.3765567765567765	-0.0224790220752008	0.0070134967942904	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.046750458946329	0.7103594080338267
late_neuron_residual	Perineurial	VN_minus_CTRL	20	5	4	-0.0018980627506584				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0073189569535475				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Schwann	CIDP_minus_CTRL	20	9	4	-0.0039465012321767	0.6433566433566433	-0.0195932972366505	0.0100596836617454	COMPLETED	unadjusted_observational_association	715.0	715.0	0.4657179531735347	0.8578088578088577	9	4	0.000830027615611	0.8657342657342657	-0.0079482900870527	0.0088793661586232	COMPLETED	unadjusted_observational_association	715.0	715.0	0.1753142118871784	0.9727415441701156
late_neuron_residual	Schwann	CIAP_minus_CTRL	20	11	4	-0.0030758672221316	0.6747252747252748	-0.0159573890891684	0.0086749439428697	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.4238897420154808	0.8675039246467818	11	4	-0.0025716775046709	0.5948717948717949	-0.0105496863530597	0.004311892542345	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.6047170304477363	0.8275862068965517
late_neuron_residual	Schwann	VN_minus_CTRL	20	5	4	-0.0062007526901566				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.0026861662705053				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_neuron_residual	Vascular_endothelial	CIDP_minus_CTRL	20	9	4	-0.0193789133060367	0.0993006993006993	-0.0376413456206933	-0.0024823632403015	COMPLETED	unadjusted_observational_association	715.0	715.0	2.026689993008808	0.5208791208791209	9	4	-0.0057561083758194	0.4909090909090909	-0.0194908279057538	0.0090027206215803	COMPLETED	unadjusted_observational_association	715.0	715.0	0.7154441289839552	0.7760141093474426
late_neuron_residual	Vascular_endothelial	CIAP_minus_CTRL	20	11	4	-0.0141435888781175	0.1567765567765567	-0.0299135568685759	0.000210048471933	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.607544627359728	0.5647058823529412	11	4	-0.0009388819260568	0.9113553113553112	-0.0132975183796368	0.0116437354682586	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.1300639526716389	0.9744566544566544
