endpoint	background	family	sample_id	parent_score	core_contribution	residual_contribution	excluded_contribution	restricted_score
GSE148059_C02	inherited	severity	GSM4453304	0.0115908931112365	-0.0130486481288603	-0.1335559039035116	0.1581954451436086	0.0152592376202094
GSE148059_C02	inherited	severity	GSM4453305	0.0128811776705982	-0.0120602433218622	-0.1331140181428197	0.1580554391352802	0.0171936821187515
GSE148059_C02	inherited	severity	GSM4453306	0.0056495196271811	-0.012622106807279	-0.1385219054611259	0.1567935318955862	0.0101925478718896
GSE148059_C02	inherited	severity	GSM4453307	0.0155465849061354	-0.0134185934858885	-0.1314102545266526	0.1603754329186765	0.0173224056131695
GSE148059_C02	inherited	severity	GSM4453308	0.006201155445472	-0.0134897561872253	-0.1394148722840783	0.1591057839167758	0.008028816001356
GSE148059_C02	inherited	severity	GSM4453309	0.0066461931533782	-0.012956489423644	-0.1377743278354049	0.1573770104124272	0.0096001067526458
GSE148059_C02	inherited	severity	GSM4453310	0.0084867638159092	-0.0131109093708178	-0.1365127242326396	0.1581103974193666	0.0119099671266768
GSE148059_C02	inherited	severity	GSM4453311	0.0165576782480216	-0.0128645853816582	-0.1288464246179638	0.1582686882476437	0.02116385629507
original_hDRG_DPN_control	statfree	late_allcell	DPN5	-0.0873383398024947	-0.0095013138731771	-0.083453610351605	0.0056165844222874	-0.0891338847587595
original_hDRG_DPN_control	statfree	late_allcell	DPN4	-0.0618718437178012	-0.0081929456809449	-0.0597285748693235	0.0060496768324673	-0.0635516656720339
original_hDRG_DPN_control	statfree	late_allcell	DPN3	-0.1096107126236562	-0.0112378714678262	-0.1034246376987282	0.0050517965428982	-0.1112643192371421
original_hDRG_DPN_control	statfree	late_allcell	DPN2	-0.1104207802351025	-0.0111861915903674	-0.1047394670118512	0.0055048783671161	-0.1125793334893542
original_hDRG_DPN_control	statfree	late_allcell	DPN1	-0.133887186102641	-0.0128995379692658	-0.1259695721678597	0.0049819240344845	-0.1360360072649978
original_hDRG_DPN_control	statfree	late_allcell	Con7	-0.1122074310013424	-0.0113834582285497	-0.1060111499684421	0.0051871771956495	-0.1140738690394955
original_hDRG_DPN_control	statfree	late_allcell	Con6	-0.1401767809253642	-0.0127129190968743	-0.1324062756087221	0.0049424137802322	-0.142401950314779
original_hDRG_DPN_control	statfree	late_allcell	Con5	-0.1230311541906956	-0.0121518482884037	-0.1161378436496198	0.0052585377473279	-0.1252264063355402
original_hDRG_DPN_control	statfree	late_allcell	Con4	-0.1368952335058035	-0.0125902449019078	-0.1290405009191551	0.0047355123152593	-0.1388441684874422
original_hDRG_DPN_control	statfree	late_allcell	Con3	-0.1347165382229499	-0.012674596162037	-0.1269813458669236	0.0049394038060108	-0.1368443409531754
original_hDRG_DPN_control	statfree	late_allcell	Con2	-0.0862454615901205	-0.0109836140419217	-0.0806779773741588	0.0054161298259599	-0.0877323390133958
original_hDRG_DPN_control	statfree	late_allcell	Con1	-0.1345962996617175	-0.0124648695754957	-0.1270153878478849	0.0048839577616629	-0.1366593445968298
original_hDRG_DPN_control	statfree	late_neuron	DPN5	-0.068988089466472	0.0652025810027573	-0.1148163863534426	-0.0193742841157868	-0.0712328663047176
original_hDRG_DPN_control	statfree	late_neuron	DPN4	-0.0656345876189114	0.0745017515218552	-0.1194418463655704	-0.0206944927751962	-0.0662334880950631
original_hDRG_DPN_control	statfree	late_neuron	DPN3	-0.0759189523436507	0.0512238694677918	-0.1099600520573721	-0.0171827697540704	-0.0808009484754874
original_hDRG_DPN_control	statfree	late_neuron	DPN2	-0.0868156707437082	0.0511194923793688	-0.119313661847357	-0.0186215012757199	-0.0909496573838089
original_hDRG_DPN_control	statfree	late_neuron	DPN1	-0.100617895259097	0.038286975683253	-0.1216798892284208	-0.0172249817139292	-0.1070757512135538
original_hDRG_DPN_control	statfree	late_neuron	Con7	-0.0845209003230298	0.0514824921201452	-0.1184675330799036	-0.0175358593632714	-0.0896994395190009
original_hDRG_DPN_control	statfree	late_neuron	Con6	-0.0932610180727284	0.0409079656770827	-0.1165687749840773	-0.0176002087657338	-0.0988000811326163
original_hDRG_DPN_control	statfree	late_neuron	Con5	-0.0976751351389458	0.0435155553239018	-0.1241036762716548	-0.0170870141911928	-0.1041156007374808
original_hDRG_DPN_control	statfree	late_neuron	Con4	-0.0918116078786875	0.0419185217296537	-0.1173489768179197	-0.0163811527904214	-0.0985909437424054
original_hDRG_DPN_control	statfree	late_neuron	Con3	-0.0980997857215748	0.0399438398911052	-0.121470799898437	-0.0165728257142431	-0.1050567281544701
original_hDRG_DPN_control	statfree	late_neuron	Con2	-0.0756356092581315	0.0508137055906201	-0.1069567794603363	-0.0194925353884153	-0.0779375156829376
original_hDRG_DPN_control	statfree	late_neuron	Con1	-0.0910001096759751	0.0425241550067082	-0.1169323179040771	-0.0165919467786062	-0.097488240003036
original_hDRG_DPN_control	statfree	severity	DPN5	-0.0123723741118706	-0.0184728759686779	-0.1608316160376958	0.1669321178945031	-0.012091226372715
original_hDRG_DPN_control	statfree	severity	DPN4	-0.0083301016377155	-0.0188066641818327	-0.156358336750251	0.1668348992943682	-0.0078063953526096
original_hDRG_DPN_control	statfree	severity	DPN3	-0.0310641789734041	-0.0200501427779773	-0.1810066646410827	0.169992628445656	-0.0341539715145439
original_hDRG_DPN_control	statfree	severity	DPN2	-0.0186169894832497	-0.0188450770963693	-0.1696734611701682	0.1699015487832878	-0.020384921090606
original_hDRG_DPN_control	statfree	severity	DPN1	-0.0207740110051353	-0.0210072783213311	-0.1696548053694581	0.1698880726856538	-0.0223013889628704
original_hDRG_DPN_control	statfree	severity	Con7	-0.0264984846506402	-0.0189631828676374	-0.1758100780488204	0.1682747762658176	-0.0282941775887271
original_hDRG_DPN_control	statfree	severity	Con6	-0.030709999631713	-0.0227861462043636	-0.17834173902699	0.1704178855996406	-0.0338039933719941
original_hDRG_DPN_control	statfree	severity	Con5	-0.0211761069119097	-0.0192807577149874	-0.1714531790599684	0.1695578298630461	-0.0229239235488712
original_hDRG_DPN_control	statfree	severity	Con4	-0.0241937179910651	-0.0200512268445796	-0.1750917475952224	0.1709492564487369	-0.0270123697927473
original_hDRG_DPN_control	statfree	severity	Con3	-0.0160246191328274	-0.0204547353229873	-0.1662118862180381	0.1706420024081981	-0.0175399771028685
original_hDRG_DPN_control	statfree	severity	Con2	-0.0417189004722427	-0.0166466368389135	-0.1913916917221012	0.1663194280887721	-0.0444337079455339
original_hDRG_DPN_control	statfree	severity	Con1	-0.021140561025031	-0.0197370873385912	-0.1709336113966357	0.1695301377101959	-0.0221559289521959
original_JCI_sural_DPN_control	statfree	late_allcell	C1	0.0418616783359768	-0.0040320319875552	0.0405685065643051	0.0053252037592269	0.0412664436196639
original_JCI_sural_DPN_control	statfree	late_allcell	C2	0.0369291090608145	-0.0052213945987052	0.036434342675505	0.0057161609840146	0.0358432760516588
original_JCI_sural_DPN_control	statfree	late_allcell	C3	0.0597290302990225	-0.0030997291100928	0.0569922190779421	0.0058365403311733	0.0590029960701007
original_JCI_sural_DPN_control	statfree	late_allcell	C4	0.1415432681534673	-0.0019320271452382	0.1363897260340384	0.0070855692646671	0.1413665891378946
original_JCI_sural_DPN_control	statfree	late_allcell	C5	0.0568717569549864	-0.004148374041762	0.0551949164262132	0.0058252145705351	0.056108122629578
original_JCI_sural_DPN_control	statfree	late_allcell	C6	0.0631829869308136	-0.0031266426614493	0.0605393833558643	0.0057702462363986	0.0626017384013404
original_JCI_sural_DPN_control	statfree	late_allcell	S38	0.0421425568472091	-0.0022581277701509	0.0402071962551462	0.0041934883622138	0.0426870114762909
original_JCI_sural_DPN_control	statfree	late_allcell	S39	0.026648754688279	-0.0044025470324946	0.0257324660731865	0.0053188356475871	0.0257414479534722
original_JCI_sural_DPN_control	statfree	late_allcell	S40	0.03246095574501	-0.0034590369333649	0.0307204464406526	0.0051995462377222	0.0318151941769288
original_JCI_sural_DPN_control	statfree	late_allcell	S42	0.0235755762088832	-0.0029943216043399	0.0225194697862849	0.0040504280269382	0.023852413711236
original_JCI_sural_DPN_control	statfree	late_allcell	S43	0.02693486855879	-0.0038977698967734	0.0256257604313808	0.0052068780241825	0.026147171973734
original_JCI_sural_DPN_control	statfree	late_allcell	S44	0.035349525056378	-0.0029738315723575	0.0336081021960143	0.0047152544327212	0.0352561310884042
original_JCI_sural_DPN_control	statfree	late_neuron	C1	-0.1290560631742535	0.0621492008246331	-0.1676583150926917	-0.0235469489061949	-0.1297013295427932
original_JCI_sural_DPN_control	statfree	late_neuron	C2	-0.1435832913695126	0.0523335959096883	-0.1698970643789682	-0.0260198229002328	-0.1423642118424073
original_JCI_sural_DPN_control	statfree	late_neuron	C3	-0.1209332422340573	0.0709690055845272	-0.1665364830198751	-0.0253657647987093	-0.1192937187420463
original_JCI_sural_DPN_control	statfree	late_neuron	C4	-0.1202093526261798	0.0777642294480379	-0.1682553554542498	-0.0297182266199679	-0.1137029886637196
original_JCI_sural_DPN_control	statfree	late_neuron	C5	-0.1286036333488672	0.061803484638042	-0.1645269022074675	-0.0258802157794417	-0.1267513680866854
original_JCI_sural_DPN_control	statfree	late_neuron	C6	-0.1097415950159751	0.0683010637188512	-0.1524326919882959	-0.0256099667465305	-0.1067626969108075
original_JCI_sural_DPN_control	statfree	late_neuron	S38	-0.0653227344392522	0.0775456129325894	-0.1236578389051721	-0.0192105084666694	-0.0662844816776551
original_JCI_sural_DPN_control	statfree	late_neuron	S39	-0.1264125743852277	0.0609413271377757	-0.1637905211190606	-0.0235633804039428	-0.1268066135890581
original_JCI_sural_DPN_control	statfree	late_neuron	S40	-0.1120173650756818	0.0689944348882735	-0.1567495107355865	-0.0242622892283687	-0.110866716787181
original_JCI_sural_DPN_control	statfree	late_neuron	S42	-0.0782048159939589	0.0719781363247322	-0.1300534130597317	-0.0201295392589594	-0.0790936229507144
original_JCI_sural_DPN_control	statfree	late_neuron	S43	-0.1242290971238444	0.0651629808229011	-0.1666036534902817	-0.0227884244564638	-0.1253928730270588
original_JCI_sural_DPN_control	statfree	late_neuron	S44	-0.0932648553017715	0.0725262248032396	-0.1450410716090769	-0.0207500084959343	-0.0946666164971872
original_JCI_sural_DPN_control	statfree	severity	C1	0.03566718899439	-0.0056995491168623	-0.0978124934358639	0.1391792315471163	0.05166124955186
original_JCI_sural_DPN_control	statfree	severity	C2	0.0339066830457609	-0.0059529133388381	-0.1006503058213473	0.1405099022059464	0.0480475151673067
original_JCI_sural_DPN_control	statfree	severity	C3	0.0348483793904819	-0.0048003643376499	-0.0992383597252759	0.1388871034534078	0.0504096543892089
original_JCI_sural_DPN_control	statfree	severity	C4	0.0728981283701632	0.0002301724486133	-0.0691014245712011	0.1417693804927511	0.0874290995314917
original_JCI_sural_DPN_control	statfree	severity	C5	0.0451057146685196	-0.0046405142489783	-0.0900701138595402	0.139816342777038	0.0611420049798914
original_JCI_sural_DPN_control	statfree	severity	C6	0.0427752376968694	-0.0028330407999354	-0.0959018541775126	0.1415101326743175	0.0556302743107386
original_JCI_sural_DPN_control	statfree	severity	S38	0.0371615652829704	-0.0035448376023278	-0.0978571474801095	0.1385635503654079	0.0520964011578714
original_JCI_sural_DPN_control	statfree	severity	S39	0.0236705226650004	-0.0071227514463714	-0.10947410844499	0.1402673825563619	0.0368988989108852
original_JCI_sural_DPN_control	statfree	severity	S40	0.0242628772642177	-0.0059428112030626	-0.1110555714306639	0.1412612598979443	0.0364066488280826
original_JCI_sural_DPN_control	statfree	severity	S42	0.0322428622041836	-0.0053084941389337	-0.1012819405126192	0.1388332968557367	0.0469232149780881
original_JCI_sural_DPN_control	statfree	severity	S43	0.0313723029926257	-0.006133306365896	-0.1044249844391138	0.1419305937976356	0.0441095518648489
original_JCI_sural_DPN_control	statfree	severity	S44	0.0184987256401006	-0.0069794572339063	-0.1112269684144065	0.1367051512884135	0.0347664152133601
original_JCI_sural_severe_moderate	statfree	late_allcell	S8	0.0511695706718553	-0.0042261354678433	0.0500493771816828	0.0053463289580158	0.0506127466619813
original_JCI_sural_severe_moderate	statfree	late_allcell	S10	0.1056141018118533	-0.0028314523280167	0.1028309047637938	0.0056146493760762	0.1059992534871203
original_JCI_sural_severe_moderate	statfree	late_allcell	S11	0.0716374514473963	-0.0044881615824605	0.0706080045695455	0.0055176084603113	0.0713490834975566
original_JCI_sural_severe_moderate	statfree	late_allcell	S12	0.0774912612213068	-0.0036883658234926	0.0754951506396217	0.0056844764051777	0.0772022446048194
original_JCI_sural_severe_moderate	statfree	late_allcell	S13	0.1091576362927808	-0.0026648390243149	0.105523900840086	0.0062985744770097	0.108982664206333
original_JCI_sural_severe_moderate	statfree	late_allcell	S14	0.0720867324743845	-0.0038735862337792	0.0699525103650418	0.006007808343122	0.0713447271865932
original_JCI_sural_severe_moderate	statfree	late_allcell	S18	0.030629605673782	-0.0053118618614655	0.0307983309495282	0.0051431365857194	0.0299054702631796
original_JCI_sural_severe_moderate	statfree	late_allcell	S19	0.0968331176648464	-0.0038936526900584	0.0946844344109599	0.0060423359439448	0.0964981688802696
original_JCI_sural_severe_moderate	statfree	late_allcell	S20	0.0800122182356873	-0.003944076216043	0.0782101659294987	0.0057461285222315	0.0797059570628449
original_JCI_sural_severe_moderate	statfree	late_allcell	S21	0.1232691494890815	-0.0018721461997649	0.1188217802433896	0.0063195154454568	0.1233846776427152
original_JCI_sural_severe_moderate	statfree	late_allcell	S22	0.063420480046752	-0.0031635112307913	0.0611900692246011	0.0053939220529422	0.0630033605077242
original_JCI_sural_severe_moderate	statfree	late_allcell	S25	0.0836228392751045	-0.0038056051471728	0.0813029640747834	0.0061254803474939	0.08301174436682
original_JCI_sural_severe_moderate	statfree	late_allcell	S28	0.1406371185424023	-0.0015475477242697	0.1356826619979325	0.0065020042687395	0.1409616865727145
