gene	direction	source_log2fc	module_id	source_contrast	audit_only	direction_source_a	direction_source_b	source_a_log2fc	source_b_log2fc
ABHD14A	down	-0.899689637	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABHD17B	down	-0.857334464	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABHD2	down	-0.932702407	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABI3	down	-0.612352145	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABO	up	0.654485986	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABTB1	up	0.667663195	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AC007244.1	down	-0.985545238	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AC007906.2	up	0.721329196	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AC008397.1	up	0.881857255	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AC233723.1	up	1.070397618	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACACA	down	-0.778974091	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACACB	up	0.730493248	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACAN	up	1.121834558	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACAP1	up	0.704027037	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACAT1	down	-0.634528784	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACAT2	down	-1.151971944	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACE	up	1.11664387	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACER3	down	-0.736660122	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACIN1	up	1.006163377	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACLY	down	-0.605743151	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACP3	down	-0.710133282	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACP6	up	0.804896459	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACPP	down	-0.787411993	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACSBG1	down	-0.673981427	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACSF2	up	0.82737712	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACSL1	up	0.977973734	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACSL3	down	-0.734441087	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACSL6	down	-1.096075976	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACTA1	up	0.672533206	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACTG2	up	1.116997407	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACTL6B	down	-0.790277885	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACTR10	down	-0.70312076	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACVR1C	up	2.984243065	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ACVRL1	up	0.655867812	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADA	up	0.66398016	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAM28	down	-1.354206758	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS10	up	0.634171583	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS12	up	1.063494624	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS15	up	0.908840308	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS16	down	-1.26968334	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS2	up	0.667019233	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS20	down	-3.370614851	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS4	up	1.110595698	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTS9	up	0.674602552	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADAMTSL4	up	0.80876515	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADCY4	up	1.134831351	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADCY6	up	0.677516293	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADD2	down	-0.721977801	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRA3	down	-0.730422603	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRB2	down	-0.904347616	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRB3	down	-1.22307743	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRE1	down	-0.674077597	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRE5	up	0.756551814	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADGRL3	down	-0.602564252	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADH1A	up	1.771796874	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADH1B	up	0.620408841	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADH5	down	-0.63844531	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADIPOQ	up	3.094254886	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADIPOR2	down	-0.837900919	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADM	up	0.772539582	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADNP	down	-0.685564968	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADORA1	down	-0.69457047	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADORA2B	down	-1.814139957	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADRA1A	up	2.741848229	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ADRA1D	up	1.162328826	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AEBP1	up	0.810952556	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AEN	up	0.847424022	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
AFF2	down	-1.051864316	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
