PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	human_gene_id	current_symbol	gene_mapping_method	detected_sample_n	detection_fraction	median_log2_intensity_observed	selected_gene_representative	passes_detection_50pct	source_row
GDI2	Rab GDP dissociation inhibitor beta	P50395	2665	GDI2	official_exact	39	0.8297872340425532	5.087279273360623	True	True	925
GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1;Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Q06210;Q06210-2	2673	GFPT1	official_exact	12	0.2553191489361702	3.491983025370643	True	False	1139
B4GALT1	Beta-1,4-galactosyltransferase 1;Isoform Short of Beta-1,4-galactosyltransferase 1	P15291;P15291-2	2683	B4GALT1	official_exact	44	0.9361702127659575	6.176586909782557	True	True	608
SMR3A	Submaxillary gland androgen-regulated protein 3A	Q99954	26952	SMR3A	official_exact	45	0.9574468085106383	9.532420731525882	True	True	1506
SND1	Staphylococcal nuclease domain-containing protein 1	Q7KZF4	27044	SND1	official_exact	3	0.06382978723404255	5.08830187275898	True	False	1339
PPA2	Inorganic pyrophosphatase 2, mitochondrial;Isoform 2 of Inorganic pyrophosphatase 2, mitochondrial;Isoform 3 of Inorganic pyrophosphatase 2, mitochondrial;Isoform 5 of Inorganic pyrophosphatase 2, mitochondrial	Q9H2U2;Q9H2U2-2;Q9H2U2-3;Q9H2U2-6	27068	PPA2	official_exact	4	0.0851063829787234	5.039761553608038	True	False	1544
LYPD3	Ly6/PLAUR domain-containing protein 3	O95274	27076	LYPD3	official_exact	40	0.851063829787234	5.261811571809419	True	True	219
SDCBP2	Syntenin-2	Q9H190	27111	SDCBP2	official_exact	22	0.46808510638297873	4.822149124815053	True	False	1538
DKK4	Dickkopf-related protein 4	Q9UBT3	27121	DKK4	official_exact	47	1.0	5.855109135824013	True	True	1629
BRPF3	Bromodomain and PHD finger-containing protein 3;Isoform 2 of Bromodomain and PHD finger-containing protein 3;Isoform 3 of Bromodomain and PHD finger-containing protein 3	Q9ULD4;Q9ULD4-2;Q9ULD4-3	27154	BRPF3	official_exact	1	0.02127659574468085	7.3922748360253445	True	False	1655
GLA	Alpha-galactosidase A	P06280	2717	GLA	official_exact	45	0.9574468085106383	5.053225578174357	True	True	406
GLB1	Beta-galactosidase;Isoform 3 of Beta-galactosidase	P16278;P16278-3	2720	GLB1	official_exact	41	0.8723404255319149	5.526548191110399	True	True	624
SMPDL3B	Acid sphingomyelinase-like phosphodiesterase 3b	Q92485	27293	SMPDL3B	official_exact	41	0.8723404255319149	5.465751844053625	True	True	1429
GOLIM4	Golgi integral membrane protein 4	O00461	27333	GOLIM4	official_exact	21	0.44680851063829785	3.999146025299252	True	False	92
GLG1	Golgi apparatus protein 1;Isoform 2 of Golgi apparatus protein 1	Q92896;Q92896-2	2734	GLG1	official_exact	47	1.0	5.070286396515887	True	True	1445
STK39	STE20/SPS1-related proline-alanine-rich protein kinase;Isoform 2 of STE20/SPS1-related proline-alanine-rich protein kinase	Q9UEW8;Q9UEW8-2	27347	STK39	official_exact	18	0.3829787234042553	4.340241250987255	True	False	1634
TOR1B	Torsin-1B	O14657	27348	TOR1B	official_exact	40	0.851063829787234	5.192937403911586	True	True	108
GLO1	Lactoylglutathione lyase;Isoform 2 of Lactoylglutathione lyase	Q04760;Q04760-2	2739	GLO1	official_exact	7	0.14893617021276595	4.998124772798521	True	False	1134
GLUL	Glutamine synthetase	P15104	2752	GLUL	official_exact	35	0.7446808510638298	5.411649723098871	True	True	604
GM2A	Ganglioside GM2 activator	P17900	2760	GM2A	official_exact	41	0.8723404255319149	5.457526419508204	True	True	639
GMDS	GDP-mannose 4,6 dehydratase;Isoform 2 of GDP-mannose 4,6 dehydratase	O60547;O60547-2	2762	GMDS	official_exact	17	0.3617021276595745	4.2173720236063215	True	False	164
GNA11	Guanine nucleotide-binding protein subunit alpha-11	P29992	2767	GNA11	official_exact	16	0.3404255319148936	5.006053716599929	True	False	763
GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2;Isoform 2 of Guanine nucleotide-binding protein G(i) subunit alpha-2;Isoform 3 of Guanine nucleotide-binding protein G(i) subunit alpha-2;Isoform sGi2 of Guanine nucleotide-binding protein G(i) subunit alpha-2;Isoform 5 of Guanine nucleotide-binding protein G(i) subunit alpha-2;Isoform 6 of Guanine nucleotide-binding protein G(i) subunit alpha-2	P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6	2771	GNAI2	official_exact	27	0.574468085106383	5.405032623819348	True	True	381
GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha	P08754	2773	GNAI3	official_exact	20	0.425531914893617	5.090431373232507	True	False	475
GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	P50148	2776	GNAQ	official_exact	14	0.2978723404255319	5.963312112202711	True	False	923
GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Isoform 3 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Isoform 4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Isoform XLas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	P63092;P63092-2;P63092-3;P63092-4;Q5JWF2;Q5JWF2-2	2778	GNAS	official_exact	31	0.6595744680851063	4.677905308737527	True	True	1065
GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Isoform 2 of Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P62873;P62873-2	2782	GNB1	official_exact	30	0.6382978723404256	5.323774204070397	True	True	1054
GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	P62879	2783	GNB2	official_exact	40	0.851063829787234	4.944206829929755	True	True	1055
GNS	N-acetylglucosamine-6-sulfatase;Isoform 2 of N-acetylglucosamine-6-sulfatase	P15586;P15586-2	2799	GNS	official_exact	29	0.6170212765957447	4.546784739914908	True	True	615
AMY2B	Alpha-amylase 2B	P19961	280	AMY2B	official_exact	3	0.06382978723404255	4.322536097336966	True	False	663
GOT1	Aspartate aminotransferase, cytoplasmic;Isoform 2 of Aspartate aminotransferase, cytoplasmic	P17174;P17174-2	2805	GOT1	official_exact	22	0.46808510638297873	4.052103605915512	True	False	633
GOT2	Aspartate aminotransferase, mitochondrial	P00505	2806	GOT2	official_exact	10	0.2127659574468085	4.465949598310274	True	False	251
SFN	14-3-3 protein sigma;Isoform 2 of 14-3-3 protein sigma	P31947;P31947-2	2810	SFN	official_exact	43	0.9148936170212766	6.109570689016289	True	True	796
GP2	Isoform Alpha of Pancreatic secretory granule membrane major glycoprotein GP2	P55259-3	2813	GP2	official_exact	8	0.1702127659574468	4.233898181278048	True	False	980
GPC1	Glypican-1	P35052	2817	GPC1	official_exact	1	0.02127659574468085	4.494563014425102	True	False	812
GPI	Glucose-6-phosphate isomerase;Isoform 2 of Glucose-6-phosphate isomerase	P06744;P06744-2	2821	GPI	official_exact	41	0.8723404255319149	4.484894295207925	True	True	420
GPLD1	Phosphatidylinositol-glycan-specific phospholipase D	P80108	2822	GPLD1	official_exact	9	0.19148936170212766	3.9242938637612874	True	False	1090
GPM6B	Neuronal membrane glycoprotein M6-b;Isoform 2 of Neuronal membrane glycoprotein M6-b;Isoform 3 of Neuronal membrane glycoprotein M6-b;Isoform 4 of Neuronal membrane glycoprotein M6-b	Q13491;Q13491-2;Q13491-3;Q13491-4	2824	GPM6B	official_exact	3	0.06382978723404255	3.9035134007608314	True	False	1196
IGKV1-5	Immunoglobulin kappa variable 1-5	P01602	28299	IGKV1-5	official_exact	25	0.5319148936170213	7.860514244711089	True	True	285
ANG	Angiogenin	P03950	283	ANG	official_exact	44	0.9361702127659575	6.131876126930225	True	True	353
IGHV7-81	Probable non-functional immunoglobulin heavy variable 7-81	A0A0B4J1V7	28378	IGHV7-81	official_exact	9	0.19148936170212766	2.872321677258538	True	False	35
IGHV6-1	Immunoglobulin heavy variable 6-1	A0A0B4J1U7	28385	IGHV6-1	official_exact	42	0.8936170212765957	6.4971744981554655	True	True	31
IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	A0A0J9YXX1	28386	IGHV5-10-1	official_exact	47	1.0	8.376889523885767	True	True	66
IGHV5-51	Immunoglobulin heavy variable 5-51	A0A0C4DH38	28388	IGHV5-51	official_exact	47	1.0	8.18831310958127	True	True	52
IGHV4-38-2	Immunoglobulin heavy variable 4-38-2	P0DP08	28389	IGHV4-38-2	official_exact	47	1.0	7.171512941217884	True	True	518
IGHV4-61	Immunoglobulin heavy variable 4-61	A0A0C4DH41	28391	IGHV4-61	official_exact	42	0.8936170212765957	6.120249651113962	True	True	54
IGHV4-39	Immunoglobulin heavy variable 4-39	P01824	28394	IGHV4-39	official_exact	45	0.9574468085106383	7.40967501555546	True	True	308
IGHV4-34	Immunoglobulin heavy variable 4-34	P06331	28395	IGHV4-34	official_exact	29	0.6170212765957447	6.054483097291633	True	True	409
IGHV4-31	Immunoglobulin heavy variable 4-31	P0DP07	28396	IGHV4-31	official_exact	21	0.44680851063829785	6.617239882892049	True	False	517
IGHV4-30-4	Immunoglobulin heavy variable 4-30-4	P0DP06	28397	IGHV4-30-4	official_exact	42	0.8936170212765957	5.903261157882175	True	True	516
IGHV4-30-2	Immunoglobulin heavy variable 4-30-2	A0A087WSY4	28398	IGHV4-30-2	official_exact	15	0.3191489361702128	4.9169188930924275	True	False	21
ANGPT1	Angiopoietin-1;Isoform 2 of Angiopoietin-1	Q15389;Q15389-2	284	ANGPT1	official_exact	20	0.425531914893617	4.15904265302708	True	False	1257
IGHV4-28	Immunoglobulin heavy variable 4-28	A0A0C4DH34	28400	IGHV4-28	official_exact	40	0.851063829787234	7.236241449124533	True	True	49
IGHV4-4	Immunoglobulin heavy variable 4-4	A0A075B6R2	28401	IGHV4-4	official_exact	21	0.44680851063829785	4.664464754225787	True	False	15
VMO1	Vitelline membrane outer layer protein 1 homolog	Q7Z5L0	284013	VMO1	official_exact	20	0.425531914893617	5.033272064436872	True	False	1349
IGHV3-38-3	Probable non-functional immunoglobulin heavy variable 3-38-3	P0DTE1	28404	IGHV3-38-3	official_exact	13	0.2765957446808511	4.773431520210417	True	False	523
IGHV3-74	Immunoglobulin heavy variable 3-74	A0A0B4J1X5	28408	IGHV3-74	official_exact	45	0.9574468085106383	5.8577063661674575	True	True	36
IGHV3-73	Immunoglobulin heavy variable 3-73	A0A0B4J1V6	28409	IGHV3-73	official_exact	47	1.0	6.971767445146548	True	True	34
IGHV3-72	Immunoglobulin heavy variable 3-72	A0A0B4J1Y9	28410	IGHV3-72	official_exact	46	0.9787234042553191	6.754913799226799	True	True	39
GSDMA	Gasdermin-A	Q96QA5	284110	GSDMA	official_exact	9	0.19148936170212766	4.283783580981201	True	False	1477
IGHV3-66	Immunoglobulin heavy variable 3-66	A0A0C4DH42	28412	IGHV3-66	official_exact	47	1.0	9.020596140419215	True	True	55
IGHV3-64	Immunoglobulin heavy variable 3-64	A0A075B6Q5	28414	IGHV3-64	official_exact	47	1.0	7.69890216809785	True	True	14
IGHV3-49	Immunoglobulin heavy variable 3-49	A0A0A0MS15	28423	IGHV3-49	official_exact	47	1.0	7.512644870869859	True	True	28
IGHV3-48	Immunoglobulin heavy variable 3-48	P01763	28424	IGHV3-48	official_exact	23	0.48936170212765956	6.684136277324907	True	False	300
IGHV3-43	Immunoglobulin heavy variable 3-43	A0A0B4J1X8	28426	IGHV3-43	official_exact	47	1.0	7.749882517826117	True	True	37
IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	A0A0C4DH36	28429	IGHV3-38	official_exact	47	1.0	7.972659948334268	True	True	51
IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	A0A0C4DH35	28432	IGHV3-35	official_exact	39	0.8297872340425532	9.659275162584377	True	True	50
CXCL17	C-X-C motif chemokine 17	Q6UXB2	284340	CXCL17	official_exact	47	1.0	6.824499169444682	True	True	1326
KLK9	Kallikrein-9	Q9UKQ9	284366	KLK9	official_exact	9	0.19148936170212766	4.84604383064996	True	False	1651
IGHV3-23	Immunoglobulin heavy variable 3-23	P01764	28442	IGHV3-23	official_exact	47	1.0	8.159915979428167	True	True	301
IGHV3-20	Immunoglobulin heavy variable 3-20	A0A0C4DH32	28445	IGHV3-20	official_exact	44	0.9361702127659575	6.853548047831056	True	True	47
IGHV3-16	Probable non-functional immunoglobulin heavy variable 3-16	A0A0C4DH30	28447	IGHV3-16	official_exact	27	0.574468085106383	7.8910006345989245	True	True	45
IGHV3-15	Immunoglobulin heavy variable 3-15	A0A0B4J1V0	28448	IGHV3-15	official_exact	47	1.0	7.224330150524599	True	True	32
IGHV3-13	Immunoglobulin heavy variable 3-13	P01766	28449	IGHV3-13	official_exact	42	0.8936170212765957	6.948678400362288	True	True	302
IGHV3-11	Immunoglobulin heavy variable 3-11	P01762	28450	IGHV3-11	official_exact	25	0.5319148936170213	5.908779791409001	True	True	299
IGHV3-9	Immunoglobulin heavy variable 3-9	P01782	28451	IGHV3-9	official_exact	47	1.0	7.131511448038008	True	True	305
IGHV3-7	Immunoglobulin heavy variable 3-7	P01780	28452	IGHV3-7	official_exact	44	0.9361702127659575	7.324403030752338	True	True	304
IGHV2-70	Immunoglobulin heavy variable 2-70	P01814	28454	IGHV2-70	official_exact	43	0.9148936170212766	5.430969942299602	True	True	306
IGHV2-26	Immunoglobulin heavy variable 2-26	A0A0B4J1V2	28455	IGHV2-26	official_exact	5	0.10638297872340426	3.287652641707871	True	False	33
IGHV2-5	Immunoglobulin heavy variable 2-5	P01817	28457	IGHV2-5	official_exact	47	1.0	5.740782751034137	True	True	307
IGHV1-69-2	Immunoglobulin heavy variable 1-69-2	A0A0G2JMI3	28458	IGHV1-69-2	official_exact	3	0.06382978723404255	5.868120297315011	True	False	63
IGHV1-58	Immunoglobulin heavy variable 1-58	A0A0C4DH39	28464	IGHV1-58	official_exact	15	0.3191489361702128	5.488805251120812	True	False	53
IGHV1-46	Immunoglobulin heavy variable 1-46	P01743	28465	IGHV1-46	official_exact	43	0.9148936170212766	7.116309373573969	True	True	298
IGHV1-45	Immunoglobulin heavy variable 1-45	A0A0A0MS14	28466	IGHV1-45	official_exact	33	0.7021276595744681	6.850126447637061	True	True	27
IGHV1-24	Immunoglobulin heavy variable 1-24	A0A0C4DH33	28467	IGHV1-24	official_exact	17	0.3617021276595745	5.194224669075098	True	False	48
IGHV1-18	Immunoglobulin heavy variable 1-18	A0A0C4DH31	28468	IGHV1-18	official_exact	43	0.9148936170212766	6.205704073086494	True	True	46
IGHV1-8	Immunoglobulin heavy variable 1-8	P0DP01	28472	IGHV1-8	official_exact	40	0.851063829787234	5.535916648752153	True	True	514
IGHV1-3	Immunoglobulin heavy variable 1-3	A0A0C4DH29	28473	IGHV1-3	official_exact	31	0.6595744680851063	6.108828151216569	True	True	44
IGHV1-2	Immunoglobulin heavy variable 1-2	P23083	28474	IGHV1-2	official_exact	47	1.0	8.124567514934935	True	True	700
RNF149	E3 ubiquitin-protein ligase RNF149	Q8NC42	284996	RNF149	official_exact	14	0.2978723404255319	9.314295243899068	True	False	1391
FAM83H	Protein FAM83H	Q6ZRV2	286077	SACK1H	unique_synonym	2	0.0425531914893617	3.3391443557068414	True	False	1337
LCN1P1	Putative lipocalin 1-like protein 1	Q5VSP4	286310	LCN1P1	official_exact	45	0.9574468085106383	9.258904125950965	True	True	1306
KRT6C	Keratin, type II cytoskeletal 6C	P48668	286887	KRT6C	official_exact	5	0.10638297872340426	6.034095357463887	True	False	896
GPX1	Glutathione peroxidase 1	P07203	2876	GPX1	official_exact	17	0.3617021276595745	5.295301753384255	True	False	428
IGLV10-54	Immunoglobulin lambda variable 10-54	A0A075B6I4	28772	IGLV10-54	official_exact	36	0.7659574468085106	4.89749061631368	True	True	7
IGLV9-49	Immunoglobulin lambda variable 9-49	A0A0B4J1Y8	28773	IGLV9-49	official_exact	38	0.8085106382978723	6.427600367599006	True	True	38
IGLV8-61	Immunoglobulin lambda variable 8-61	A0A075B6I0	28774	IGLV8-61	official_exact	45	0.9574468085106383	6.277890816800557	True	True	5
IGLV7-46	Immunoglobulin lambda variable 7-46	A0A075B6I9	28775	IGLV7-46	official_exact	38	0.8085106382978723	6.848585100893131	True	True	8
IGLV6-57	Immunoglobulin lambda variable 6-57	P01721	28778	IGLV6-57	official_exact	47	1.0	5.729985985932622	True	True	297
IGLV5-52	Immunoglobulin lambda variable 5-52	A0A0A0MRZ9	28779	IGLV5-52	official_exact	10	0.2127659574468085	3.9179957658018876	True	False	26
GPX3	Glutathione peroxidase 3	P22352	2878	GPX3	official_exact	47	1.0	7.772146710671348	True	True	692
IGLV5-45	Immunoglobulin lambda variable 5-45	A0A087WSX0	28781	IGLV5-45	official_exact	45	0.9574468085106383	8.263428679674966	True	True	20
IGLV4-69	Immunoglobulin lambda variable 4-69	A0A075B6H9	28784	IGLV4-69	official_exact	37	0.7872340425531915	5.102914886818672	True	True	4
IGLV4-60	Immunoglobulin lambda variable 4-60	A0A075B6I1	28785	IGLV4-60	official_exact	13	0.2765957446808511	3.7970970710132987	True	False	6
IGLV3-27	Immunoglobulin lambda variable 3-27	P01718	28791	IGLV3-27	official_exact	47	1.0	6.5061017311574805	True	True	296
IGLV3-25	Immunoglobulin lambda variable 3-25	P01717	28793	IGLV3-25	official_exact	47	1.0	7.257834380103325	True	True	295
IGLV3-21	Immunoglobulin lambda variable 3-21	P80748	28796	IGLV3-21	official_exact	46	0.9787234042553191	6.715669508873102	True	True	1094
IGLV3-19	Immunoglobulin lambda variable 3-19	P01714	28797	IGLV3-19	official_exact	47	1.0	6.8960997276379565	True	True	293
IGLV3-12	Immunoglobulin lambda variable 3-12	A0A075B6K2	28802	IGLV3-12	official_exact	14	0.2978723404255319	4.183546014647252	True	False	10
IGLV3-10	Immunoglobulin lambda variable 3-10	A0A075B6K4	28803	IGLV3-10	official_exact	38	0.8085106382978723	6.01448956857249	True	True	11
IGLV3-9	Immunoglobulin lambda variable 3-9	A0A075B6K5	28804	IGLV3-9	official_exact	47	1.0	7.915539059211074	True	True	12
IGLV3-1	Immunoglobulin lambda variable 3-1	P01715	28809	IGLV3-1	official_exact	37	0.7872340425531915	6.3258154394766715	True	True	294
IGLV2-23	Immunoglobulin lambda variable 2-23	P01705	28813	IGLV2-23	official_exact	40	0.851063829787234	4.968202780819173	True	True	292
IGLV2-18	Immunoglobulin lambda variable 2-18	A0A075B6J9	28814	IGLV2-18	official_exact	38	0.8085106382978723	7.021019895903862	True	True	9
IGLV2-14	Immunoglobulin lambda variable 2-14	P01704	28815	IGLV2-14	official_exact	43	0.9148936170212766	5.601183181353741	True	True	291
IGLV1-51	Immunoglobulin lambda variable 1-51	P01701	28820	IGLV1-51	official_exact	44	0.9361702127659575	6.166630574786463	True	True	289
IGLV1-47	Immunoglobulin lambda variable 1-47	P01700	28822	IGLV1-47	official_exact	47	1.0	7.38041389890483	True	True	288
IGLV1-44	Immunoglobulin lambda variable 1-44	P01699	28823	IGLV1-44	official_exact	46	0.9787234042553191	6.275534449058331	True	True	287
IGLV1-40	Immunoglobulin lambda variable 1-40	P01703	28825	IGLV1-40	official_exact	47	1.0	6.287837905453818	True	True	290
IGLV1-36	Immunoglobulin lambda variable 1-36	A0A0B4J1U3	28826	IGLV1-36	official_exact	22	0.46808510638297873	6.304000406979719	True	False	30
IGLC7	Immunoglobulin lambda constant 7	A0M8Q6	28834	IGLC7	official_exact	28	0.5957446808510638	6.541953828181974	True	True	68
GRB2	Growth factor receptor-bound protein 2	P62993	2885	GRB2	official_exact	7	0.14893617021276595	3.1206780066787196	True	False	1062
IGKV6D-21	Immunoglobulin kappa variable 6D-21	A0A0A0MT36	28870	IGKV6D-21	official_exact	47	1.0	7.95495132757433	True	True	29
IGKV3D-20	Immunoglobulin kappa variable 3D-20	A0A0C4DH25	28874	IGKV3D-20	official_exact	41	0.8723404255319149	7.3400436298437866	True	True	43
IGKV3D-15	Immunoglobulin kappa variable 3D-15	A0A087WSY6	28875	IGKV3D-15	official_exact	47	1.0	6.859067231466505	True	True	22
IGKV3D-7	Immunoglobulin kappa variable 3D-7	A0A0C4DH55	28877	IGKV3D-7	official_exact	38	0.8085106382978723	7.654565343681052	True	True	57
IGKV2D-30	Immunoglobulin kappa variable 2D-30	A0A075B6S6	28881	IGKV2D-30	official_exact	47	1.0	7.310940836384782	True	True	18
IGKV2D-29	Immunoglobulin kappa variable 2D-29	A0A075B6S2	28882	IGKV2D-29	official_exact	47	1.0	7.245542261771273	True	True	16
IGKV2D-26	Immunoglobulin kappa variable 2D-26	A0A0A0MRZ7	28884	IGKV2D-26	official_exact	14	0.2978723404255319	6.140354947128959	True	False	25
IGKV1D-42	Probable non-functional immunoglobulin kappa variable 1D-42	A0A075B6H8	28892	IGKV1D-42	official_exact	42	0.8936170212765957	5.783571917648773	True	True	3
IGKV1D-16	Immunoglobulin kappa variable 1D-16	P01601	28901	IGKV1D-16	official_exact	47	1.0	7.596995906439037	True	True	284
IGKV1D-8	Immunoglobulin kappa variable 1D-8	A0A087WSZ0	28904	IGKV1D-8	official_exact	4	0.0851063829787234	6.3215326888887375	True	False	23
IGKV6-21	Immunoglobulin kappa variable 6-21	A0A0C4DH24	28906	IGKV6-21	official_exact	47	1.0	6.889587885210489	True	True	42
IGKV5-2	Immunoglobulin kappa variable 5-2	P06315	28907	IGKV5-2	official_exact	7	0.14893617021276595	5.265297125946219	True	False	408
IGKV4-1	Immunoglobulin kappa variable 4-1	P06312	28908	IGKV4-1	official_exact	47	1.0	6.630966729711756	True	True	407
IGKV3-20	Immunoglobulin kappa variable 3-20	P01619	28912	IGKV3-20	official_exact	47	1.0	7.172114932533137	True	True	286
IGKV3-11	Immunoglobulin kappa variable 3-11	P04433	28914	IGKV3-11	official_exact	47	1.0	6.777205040462917	True	True	375
IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	A0A075B6H7	28915	IGKV3-7	official_exact	46	0.9787234042553191	7.776372863836983	True	True	2
IGKV2-29	Immunoglobulin kappa variable 2-29	A2NJV5	28920	IGKV2-29	official_exact	25	0.5319148936170213	6.442285589352355	True	True	70
IGKV2-24	Immunoglobulin kappa variable 2-24	A0A0C4DH68	28923	IGKV2-24	official_exact	47	1.0	7.652612401135616	True	True	59
IGKV1-27	Immunoglobulin kappa variable 1-27	A0A075B6S5	28935	IGKV1-27	official_exact	47	1.0	6.795718058103674	True	True	17
IGKV1-16	Immunoglobulin kappa variable 1-16	P04430	28938	IGKV1-16	official_exact	39	0.8297872340425532	6.048904389404449	True	True	374
IGKV1-9	Immunoglobulin kappa variable 1-9	A0A0C4DH69	28941	IGKV1-9	official_exact	47	1.0	7.0662342439985215	True	True	60
IGKV1-8	Immunoglobulin kappa variable 1-8	A0A0C4DH67	28942	IGKV1-8	official_exact	25	0.5319148936170213	4.994915843863532	True	True	58
IGKV1-6	Immunoglobulin kappa variable 1-6	A0A0C4DH72	28943	IGKV1-6	official_exact	47	1.0	7.174566714289061	True	True	61
COA3	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial	Q9Y2R0	28958	COA3	official_exact	12	0.2553191489361702	4.181506311619188	True	False	1677
GRN	Progranulin	P28799	2896	GRN	official_exact	47	1.0	6.0032577979968815	True	True	751
DBNL	Drebrin-like protein	Q9UJU6	28988	DBNL	official_exact	20	0.425531914893617	4.386010023262671	True	False	1648
ANPEP	Aminopeptidase N	P15144	290	ANPEP	official_exact	46	0.9787234042553191	5.305554492323939	True	True	605
C1GALT1C1	C1GALT1-specific chaperone 1	Q96EU7	29071	C1GALT1C1	official_exact	45	0.9574468085106383	5.273865586358876	True	True	1457
LGALSL	Galectin-related protein	Q3ZCW2	29094	LGALSL	official_exact	8	0.1702127659574468	4.445650742240654	True	False	1296
PYCARD	Apoptosis-associated speck-like protein containing a CARD;Isoform 2 of Apoptosis-associated speck-like protein containing a CARD	Q9ULZ3;Q9ULZ3-2	29108	PYCARD	official_exact	23	0.48936170212765956	4.328861433348764	True	False	1657
CXCL1	Growth-regulated alpha protein	P09341	2919	CXCL1	official_exact	3	0.06382978723404255	2.208397061321367	True	False	484
SLC25A5	ADP/ATP translocase 2	P05141	292	SLC25A5	official_exact	7	0.14893617021276595	4.467478436692549	True	False	392
PDIA3	Protein disulfide-isomerase A3	P30101	2923	PDIA3	official_exact	47	1.0	5.863805624463443	True	True	775
SLC25A6	ADP/ATP translocase 3	P12236	293	SLC25A6	official_exact	16	0.3404255319148936	4.889492522796342	True	False	554
GSN	Gelsolin;Isoform 3 of Gelsolin;Isoform 4 of Gelsolin	P06396;P06396-3;P06396-4	2934	GSN	official_exact	47	1.0	7.120151797340052	True	True	410
GSR	Glutathione reductase, mitochondrial;Isoform Cytoplasmic of Glutathione reductase, mitochondrial;Isoform 2 of Glutathione reductase, mitochondrial	P00390;P00390-2;P00390-3	2936	GSR	official_exact	29	0.6170212765957447	5.381634567846164	True	True	246
GSS	Glutathione synthetase	P48637	2937	GSS	official_exact	10	0.2127659574468085	5.08904712085526	True	False	895
GSTP1	Glutathione S-transferase P	P09211	2950	GSTP1	official_exact	47	1.0	6.679248668436759	True	True	480
GSTT1	Glutathione S-transferase theta-1	P30711	2952	GSTT1	official_exact	4	0.0851063829787234	4.289408614921313	True	False	782
OLA1	Obg-like ATPase 1;Isoform 2 of Obg-like ATPase 1	Q9NTK5;Q9NTK5-2	29789	OLA1	official_exact	5	0.10638297872340426	5.219217127428133	True	False	1591
UQCR10	Cytochrome b-c1 complex subunit 9	Q9UDW1	29796	UQCR10	official_exact	30	0.6382978723404256	5.658458775508764	True	True	1633
GUSB	Beta-glucuronidase;Isoform 2 of Beta-glucuronidase;Isoform 3 of Beta-glucuronidase	P08236;P08236-2;P08236-3	2990	GUSB	official_exact	28	0.5957446808510638	4.802541551314289	True	True	458
GYG1	Glycogenin-1;Isoform GN-1 of Glycogenin-1	P46976;P46976-2	2992	GYG1	official_exact	6	0.1276595744680851	4.918984763534148	True	False	882
GMPPB	Mannose-1-phosphate guanyltransferase beta;Isoform 2 of Mannose-1-phosphate guanyltransferase beta	Q9Y5P6;Q9Y5P6-2	29925	GMPPB	official_exact	7	0.14893617021276595	4.993327143514797	True	False	1687
GMPPA	Mannose-1-phosphate guanyltransferase alpha;Isoform 2 of Mannose-1-phosphate guanyltransferase alpha	Q96IJ6;Q96IJ6-2	29926	GMPPA	official_exact	3	0.06382978723404255	4.291454724544077	True	False	1465
IL19	Interleukin-19;Isoform 2 of Interleukin-19	Q9UHD0;Q9UHD0-2	29949	IL19	official_exact	36	0.7659574468085106	5.596564891058005	True	True	1637
DPP7	Dipeptidyl peptidase 2	Q9UHL4	29952	DPP7	official_exact	43	0.9148936170212766	5.838058424889792	True	True	1640
OBP2B	Odorant-binding protein 2b	Q9NPH6	29989	OBP2B	official_exact	16	0.3404255319148936	4.562869197743726	True	False	1573
ERO1A	ERO1-like protein alpha	Q96HE7	30001	ERO1A	official_exact	36	0.7659574468085106	4.537400217206742	True	True	1464
EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	O95967	30008	EFEMP2	official_exact	38	0.8085106382978723	5.144759267669537	True	True	237
H1-0	Histone H1.0	P07305	3005	H1-0	official_exact	13	0.2765957446808511	4.512902943023545	True	False	431
H1-3	Histone H1.3	P16402	3007	H1-3	official_exact	45	0.9574468085106383	7.229054512426707	True	True	628
H1-5	Histone H1.5	P16401	3009	H1-5	official_exact	43	0.9148936170212766	6.6109387664311425	True	True	627
ANXA1	Annexin A1	P04083	301	ANXA1	official_exact	47	1.0	6.126465648902579	True	True	363
