library	module_id	module_display	direction	term	background_n	component_direction_n	term_background_n	overlap_n	gene_ratio	background_ratio	odds_ratio	p_value	overlap_genes	bh_q	formal_enrichment
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis	3695	119	13	3	0.025210084033613446	0.0035182679296346412	10.204577968526467	0.00735522825566296	B3GAT1;B3GAT2;BCAN	0.044131369533977755	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Chromatin Modifications During the Maternal to Zygotic Transition (MZT)	3695	77	5	3	0.03896103896103896	0.0013531799729364006	67.96107382550336	8.447419328821716e-05	H2AC6;H2BC26;TET3	0.0028721225717993834	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Maternal to Zygotic Transition (MZT)	3695	77	9	3	0.03896103896103896	0.002435723951285521	26.109963861641713	0.0006679837975898066	H2AC6;H2BC26;TET3	0.011355724559026713	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Deubiquitination	3695	77	44	5	0.06493506493506493	0.011907983761840324	6.874639895242252	0.001984288530207813	ADRB2;H2AC6;H2BC26;RCE1;TNFAIP3	0.017385662666306624	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Activation of HOX Genes During Differentiation	3695	77	14	3	0.03896103896103896	0.0037889039242219214	14.737379632331486	0.0026848150501526534	H2AC6;H2BC26;HOXA2	0.017385662666306624	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis	3695	77	14	3	0.03896103896103896	0.0037889039242219214	14.737379632331486	0.0026848150501526534	H2AC6;H2BC26;HOXA2	0.017385662666306624	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Oxidative Stress Induced Senescence	3695	77	15	3	0.03896103896103896	0.0040595399188092015	13.554630872483221	0.0033060267797810003	H2AC6;H2BC26;MAP2K3	0.017385662666306624	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Ub-specific Processing Proteases	3695	77	31	4	0.05194805194805195	0.008389715832205684	7.995918367346939	0.0035794011371807753	ADRB2;H2AC6;H2BC26;RCE1	0.017385662666306624	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Cellular Response to Starvation	3695	77	20	3	0.03896103896103896	0.005412719891745603	9.668456375838927	0.007685903316716975	ATF3;FLCN;KICS2	0.032665089096047144	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	up	Cellular Responses to Stimuli	3695	77	151	8	0.1038961038961039	0.0408660351826793	2.9620986137918934	0.012422776332722431	ATF3;FLCN;H2AC6;H2BC26;HMOX1;KICS2;MAP2K3;PECAM1	0.04693048836806252	True
