analysis_id	source	endpoint	program	block	original_effect	deleted_effect	eligible_before	eligible_after	rank_universe_same	remaining_up	remaining_down	reason	change	absolute_change	baseline_near_zero	signed_retention_ratio	same_sign
M05	GSE143979	AH DPN minus MNC	P1	black	0.0146267140585267	0.0138663455814218	True	True	True	300	318		-0.0007603684771048998	0.0007603684771048998	False	0.948015085680735	1.0
M05	GSE143979	AH DPN minus MNC	P1	blue	0.0146267140585267	0.0195299958454205	True	True	True	294	285		0.004903281786893799	0.004903281786893799	False	1.3352278418292736	1.0
M05	GSE143979	AH DPN minus MNC	P1	brown	0.0146267140585267	0.0134639068386092	True	True	True	285	298		-0.0011628072199174992	0.0011628072199174992	False	0.920501131336492	1.0
M05	GSE143979	AH DPN minus MNC	P1	green	0.0146267140585267	0.0161072266458337	True	True	True	277	325		0.0014805125873070014	0.0014805125873070014	False	1.1012197668856412	1.0
M05	GSE143979	AH DPN minus MNC	P1	magenta	0.0146267140585267	0.0141809788736825	True	True	True	300	327		-0.0004457351848441999	0.0004457351848441999	False	0.9695259520996545	1.0
M05	GSE143979	AH DPN minus MNC	P1	pink	0.0146267140585267	0.0141482359639575	True	True	True	300	326		-0.0004784780945692006	0.0004784780945692006	False	0.9672873830270668	1.0
M05	GSE143979	AH DPN minus MNC	P1	red	0.0146267140585267	0.0135336852962317	True	True	True	295	320		-0.001093028762294999	0.001093028762294999	False	0.9252717488069158	1.0
M05	GSE143979	AH DPN minus MNC	P1	turquoise	0.0146267140585267	0.0110880663928956	True	True	True	250	307		-0.0035386476656310995	0.0035386476656310995	False	0.7580695396469974	1.0
M05	GSE143979	AH DPN minus MNC	P1	yellow	0.0146267140585267	0.0138324744126362	True	True	True	288	312		-0.0007942396458904995	0.0007942396458904995	False	0.945699379729961	1.0
M05	GSE143979	AH DPN minus MNC	P2	black	0.0043016923282453	0.00448854327234	True	True	True	1316	1670		0.00018685094409469968	0.00018685094409469968	False	1.0434366128111534	1.0
M05	GSE143979	AH DPN minus MNC	P2	blue	0.0043016923282453	0.0035823216023933	True	True	True	1304	1598		-0.000719370725852	0.000719370725852	False	0.8327702980688445	1.0
M05	GSE143979	AH DPN minus MNC	P2	brown	0.0043016923282453	0.0049854246231615	True	True	True	1325	1546		0.0006837322949162002	0.0006837322949162002	False	1.1589449553206659	1.0
M05	GSE143979	AH DPN minus MNC	P2	green	0.0043016923282453	0.0044581072936234	True	True	True	1365	1627		0.00015641496537810006	0.00015641496537810006	False	1.036361262833947	1.0
M05	GSE143979	AH DPN minus MNC	P2	magenta	0.0043016923282453	0.0043439842528864	True	True	True	1364	1676		4.2291924641099654e-05	4.2291924641099654e-05	False	1.009831461995412	1.0
M05	GSE143979	AH DPN minus MNC	P2	pink	0.0043016923282453	0.0042839460549279	True	True	True	1340	1673		-1.774627331739987e-05	1.774627331739987e-05	False	0.9958745833120429	1.0
M05	GSE143979	AH DPN minus MNC	P2	red	0.0043016923282453	0.0047192050779148	True	True	True	1370	1612		0.0004175127496695002	0.0004175127496695002	False	1.0970577897745206	1.0
M05	GSE143979	AH DPN minus MNC	P2	turquoise	0.0043016923282453	0.0040354245223755	True	True	True	1244	1636		-0.0002662678058698003	0.0002662678058698003	False	0.9381016154685304	1.0
M05	GSE143979	AH DPN minus MNC	P2	yellow	0.0043016923282453	0.0019935261865188	True	True	True	1263	1626		-0.0023081661417265	0.0023081661417265	False	0.4634283520067503	1.0
M05	GSE143979	AH DPN minus MNC	P3	black	-0.0051135175825928	-0.0052690418752103	True	True	True	127	294		-0.0001555242926175003	0.0001555242926175003	False	1.0304143459185373	1.0
M05	GSE143979	AH DPN minus MNC	P3	blue	-0.0051135175825928	-0.0060432629663938	True	True	True	120	286		-0.0009297453838009997	0.0009297453838009997	False	1.1818210984481594	1.0
M05	GSE143979	AH DPN minus MNC	P3	brown	-0.0051135175825928	-0.0050541022809145	True	True	True	126	263		5.941530167829969e-05	5.941530167829969e-05	False	0.9883807377761722	1.0
M05	GSE143979	AH DPN minus MNC	P3	green	-0.0051135175825928	-0.0047513105574543	True	True	True	130	281		0.00036220702513850046	0.00036220702513850046	False	0.9291667586376335	1.0
M05	GSE143979	AH DPN minus MNC	P3	magenta	-0.0051135175825928	-0.0049925901288164	True	True	True	130	298		0.00012092745377639998	0.00012092745377639998	False	0.9763514152785833	1.0
M05	GSE143979	AH DPN minus MNC	P3	pink	-0.0051135175825928	-0.0043648174376252	True	True	True	129	295		0.0007487001449676001	0.0007487001449676001	False	0.8535841262155252	1.0
M05	GSE143979	AH DPN minus MNC	P3	red	-0.0051135175825928	-0.0051003184737712	True	True	True	126	291		1.3199108821600365e-05	1.3199108821600365e-05	False	0.9974187809842422	1.0
M05	GSE143979	AH DPN minus MNC	P3	turquoise	-0.0051135175825928	-0.0053911379034224	True	True	True	117	270		-0.0002776203208296	0.0002776203208296	False	1.0542914571712165	1.0
M05	GSE143979	AH DPN minus MNC	P3	yellow	-0.0051135175825928	-0.0040997115729744	True	True	True	125	283		0.0010138060096183997	0.0010138060096183997	False	0.8017399973220878	1.0
M05	GSE143979	AH DPN minus MNC	P4	black	0.0088177672659256	0.0083436306883019	True	True	True	316	131		-0.0004741365776237006	0.0004741365776237006	False	0.9462294066825849	1.0
M05	GSE143979	AH DPN minus MNC	P4	blue	0.0088177672659256	0.010555259639314	True	True	True	301	111		0.0017374923733884003	0.0017374923733884003	False	1.197044480874719	1.0
M05	GSE143979	AH DPN minus MNC	P4	brown	0.0088177672659256	0.0069130054078917	True	True	True	304	117		-0.0019047618580338996	0.0019047618580338996	False	0.7839859228997289	1.0
M05	GSE143979	AH DPN minus MNC	P4	green	0.0088177672659256	0.0086562614220793	True	True	True	305	130		-0.00016150584384629942	0.00016150584384629942	False	0.9816840432531708	1.0
M05	GSE143979	AH DPN minus MNC	P4	magenta	0.0088177672659256	0.0089450759649866	True	True	True	313	133		0.00012730869906099965	0.00012730869906099965	False	1.0144377476998012	1.0
